CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
16,7929,7.4,,,,,2.6
19,7929,6.0,,,,,3.2
3,7929,3.9,,,,,3.2
5,7929,6.0,,,,,3.2
31,7929,5.5,,,,,3.3
40,7929,3.6,,,,,3.4
41,7929,9.5,,,,,6.0
47,7929,1.0,,,,,-0.3
53,7929,6.0,,,,,3.0
58,7929,7.0,,,,,3.3
60,7929,5.9,,,,,3.3
62,7929,6.1,,,,,
63,7929,6.1,,,,,6.0
65,7929,5.2,,,,,3.2
67,7929,6.3,,,,,3.1
68,7929,6.0,,,,,3.2
69,7929,5.2,,,,,3.2
70,7929,6.0,,,,,3.3
72,7929,7.0,,,,,0.1
75,7929,4.5,,,,,3.5
78,7929,6.2,,,,,3.9
79,7929,5.9,,,,,3.3
83,7929,5.5,,,,,0.9
16,7932,,,5.9,5.9,,2.6
19,7932,,,6.5,7.3,,2.6
5,7932,,,6.0,6.8,,2.6
9,7932,,,-1.0,,,0.1
21,7932,,,,5.0,,2.9
30,7932,,,,5.1,,0.2
35,7932,,,,8.5,,0.8
40,7932,,,6.3,5.3,,1.8
41,7932,,,6.8,8.0,,-3.0
47,7932,,,0.2,1.8,,0.2
51,7932,,,4.0,,,0.8
53,7932,,,7.0,8.0,,2.8
58,7932,,,3.1,3.1,,0.8
60,7932,,,5.8,6.8,,2.6
62,7932,,,5.5,6.8,,0.8
65,7932,,,3.2,6.1,,2.6
66,7932,,,6.7,,,2.6
67,7932,,,5.5,5.3,,2.6
69,7932,,,6.5,7.0,,2.6
70,7932,,,6.8,6.8,,2.6
78,7932,,,6.0,7.0,,2.0
79,7932,,,5.0,7.0,,3.2
80,7932,,,5.8,,,2.6
88,7932,,,16.5,,,
92,7932,,,6.0,,,2.6
93,7932,,,6.3,,,2.6
13,7933,,,,6.1,,0.0
16,7933,4.2,,,5.8,5.6,-0.1
19,7933,0.4,,,6.2,6.6,-0.4
5,7933,3.5,,,7.0,7.2,-0.4
9,7933,-0.2,,,-3.0,,-0.1
21,7933,2.9,,,,,0.9
30,7933,1.2,,,,4.5,0.0
31,7933,,,,4.9,5.1,-0.8
36,7933,,,,,7.4,0.0
40,7933,1.6,,,8.2,8.9,-0.1
41,7933,-3.0,,,7.0,8.0,0.0
43,7933,6.0,,,,,-0.4
47,7933,4.2,,,0.1,2.0,-0.4
53,7933,2.0,,,6.0,8.5,-0.9
60,7933,2.6,,,5.0,6.3,-0.4
62,7933,2.8,,,5.5,6.7,0.0
63,7933,,,,7.2,6.4,0.0
66,7933,3.3,,,6.2,,-0.5
67,7933,2.0,,,4.5,6.0,-0.4
68,7933,,,,7.5,7.5,-0.4
70,7933,3.4,,,7.0,7.0,0.0
74,7933,,,,7.5,,-0.4
75,7933,,,,7.0,7.0,0.4
78,7933,0.1,,,6.9,8.2,-0.4
79,7933,3.8,,,5.2,6.7,-0.4
80,7933,3.8,,,6.8,,-0.4
82,7933,3.2,,,,,-0.3
87,7933,3.0,,,,,-0.4
89,7933,1.5,,,,,-0.4
93,7933,2.0,,,6.5,,-0.4
94,7933,4.5,,,,,-0.4
99,7933,0.0,,,,,0.0
13,7936,,,4.0,,,3.6
19,7936,,,4.7,5.6,,4.9
9,7936,,,-1.0,0.0,,3.5
30,7936,,,1.7,1.8,,0.9
35,7936,,,,5.0,,3.5
36,7936,,,4.0,,,3.5
39,7936,,,4.5,,,3.2
40,7936,,,5.6,6.3,,4.8
41,7936,,,4.0,3.0,,0.3
43,7936,,,6.0,4.1,,4.8
47,7936,,,6.2,5.4,,0.3
53,7936,,,4.0,5.0,,5.0
60,7936,,,5.4,5.1,,4.8
62,7936,,,4.0,4.6,,3.4
65,7936,,,,4.0,,4.8
66,7936,,,6.3,6.1,,4.9
68,7936,,,4.8,,,4.8
69,7936,,,,5.5,,4.9
70,7936,,,5.3,5.3,,4.8
82,7936,,,5.4,6.7,,3.5
84,7936,,,,3.0,,4.1
87,7936,,,4.5,4.5,,3.6
93,7936,,,5.5,4.4,,4.8
98,7936,,,,4.0,,4.8
99,7936,,,0.3,0.0,,5.0
13,7937,4.1,,,4.0,,4.4
16,7937,,,,4.9,4.0,4.4
19,7937,4.3,,,4.9,5.4,5.1
5,7937,,,,4.9,5.0,5.0
20,7937,2.5,,,,,3.1
25,7937,,,,4.3,,5.0
30,7937,2.1,,,1.6,1.9,3.1
31,7937,,,,5.9,,5.0
35,7937,4.6,,,,4.5,4.4
36,7937,2.0,,,4.5,,1.6
39,7937,4.0,,,4.3,,4.4
40,7937,5.4,,,6.5,5.4,5.0
41,7937,0.3,,,4.5,-1.0,3.3
43,7937,4.3,,,2.2,5.0,5.0
60,7937,4.2,,,5.1,4.9,5.0
62,7937,3.3,,,3.8,4.0,4.4
65,7937,4.2,,,,,5.0
66,7937,4.7,,,6.3,6.4,3.1
68,7937,4.3,,,5.0,,5.0
70,7937,5.5,,,5.5,5.5,5.0
72,7937,4.1,,,,,3.1
74,7937,,,,5.7,,5.0
75,7937,,,,6.0,,5.2
82,7937,4.4,,,5.1,6.2,4.4
84,7937,4.0,,,,3.0,4.5
86,7937,4.1,,,,,
94,7937,,,,4.9,5.4,5.0
98,7937,4.0,,,,4.2,4.9
15,7940,,,6.0,,,3.1
19,7940,,,4.8,5.0,,3.9
9,7940,,,,0.0,,2.8
20,7940,,,3.1,2.6,,3.2
30,7940,,,3.2,3.2,,2.8
35,7940,,,5.6,5.6,,3.0
40,7940,,,6.2,6.3,,3.9
41,7940,,,3.6,0.7,,4.4
43,7940,,,5.1,5.8,,3.1
62,7940,,,4.7,5.1,,3.0
65,7940,,,4.7,4.5,,3.9
66,7940,,,3.2,5.0,,3.1
68,7940,,,5.3,4.6,,3.0
70,7940,,,5.7,5.7,,2.9
72,7940,,,3.2,4.1,,3.1
82,7940,,,6.2,6.4,,2.9
84,7940,,,5.4,5.5,,3.0
87,7940,,,,5.0,,3.0
94,7940,,,5.2,,,3.9
95,7940,,,5.5,,,3.9
99,7940,,,,4.2,,3.9
13,7941,,,,5.2,4.9,2.6
