CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
10,7881,,,,1.8,,1.23
14,7881,1.5,,,,,1.25
15,7881,1.2,,,1.55,,1.2
1,7881,1.21,,,1.7,,1.25
3,7881,1.2,,,1.68,,1.23
4,7881,1.2,,,1.6,,1.23
6,7881,1.2,,,1.6,,1.2
8,7881,1.2,,,1.6,,1.22
21,7881,,,,1.55,,1.2
22,7881,1.2,,,,,1.23
26,7881,,,,1.5,,1.23
28,7881,1.3,,,1.74,,1.23
29,7881,1.2,,,,,1.23
31,7881,1.28,,,1.8,,1.23
32,7881,1.3,,,1.65,,1.29
34,7881,1.25,,,,,1.23
38,7881,,,,1.5,,1.2
39,7881,,,,,,1.2
40,7881,1.2,,,1.55,,1.23
46,7881,1.1,,,1.6,,1.2
48,7881,1.25,,,1.61,,1.23
51,7881,1.2,,,1.6,,1.23
52,7881,1.2,,,1.5,,1.25
55,7881,1.2,,,1.5,,1.1
56,7881,1.29,,,1.6,,1.23
57,7881,1.25,,,,,1.25
58,7881,1.25,,,1.6,,1.2
60,7881,,,,,,1.23
61,7881,1.4,,,1.5,,1.23
64,7881,1.2,,,,,1.23
65,7881,,,,,,1.25
66,7881,1.25,,,1.67,,1.23
67,7881,1.25,,,1.7,,1.23
69,7881,1.4,,,1.6,,1.23
70,7881,1.18,,,1.5,,1.27
73,7881,1.22,,,1.7,,1.23
75,7881,1.27,,,1.74,,1.23
77,7881,0.98,,,,,1.23
83,7881,1.24,,,1.6,,1.23
86,7881,1.1,,,1.6,,1.23
98,7881,1.2,,,,,1.23
103,7881,1.2,,,,,1.23
14,7884,,,1.55,1.6,,1.75
15,7884,,,1.5,1.6,,1.75
18,7884,,,,1.15,,1.99
1,7884,,,1.35,1.4,,1.75
4,7884,,,1.4,1.3,,1.75
7,7884,,,,1.6,,1.7
21,7884,,,1.4,,,1.75
26,7884,,,1.38,,,1.75
28,7884,,,1.21,1.35,,1.75
31,7884,,,1.45,1.42,,1.75
32,7884,,,1.53,1.55,,1.75
34,7884,,,1.45,1.55,,1.75
39,7884,,,1.4,,,1.75
44,7884,,,,1.55,,1.75
46,7884,,,1.4,1.5,,1.7
48,7884,,,1.35,1.4,,1.75
49,7884,,,,1.3,,1.75
51,7884,,,1.4,1.6,,1.75
52,7884,,,1.4,1.45,,1.75
55,7884,,,1.3,1.3,,1.75
58,7884,,,1.3,1.35,,1.75
61,7884,,,1.55,1.6,,1.75
64,7884,,,1.3,1.2,,1.75
69,7884,,,1.45,1.5,,1.75
70,7884,,,1.35,1.42,,1.75
72,7884,,,,1.5,,1.75
73,7884,,,1.6,1.7,,1.75
75,7884,,,1.29,1.25,,1.75
77,7884,,,1.45,1.24,,1.75
82,7884,,,,1.35,,1.7
83,7884,,,1.4,1.4,,1.75
86,7884,,,1.5,1.6,,1.75
92,7884,,,,1.7,,1.8
98,7884,,,1.32,1.5,,1.75
103,7884,,,1.35,1.6,,1.75
104,7884,,,,1.4,,1.75
110,7885,1.85,,,,,1.8
10,7885,,,,1.5,,1.8
14,7885,1.85,,,1.65,,1.79
15,7885,1.8,,,1.65,,1.78
16,7885,,,,,,1.92
18,7885,2.21,,,,,1.79
121,7885,1.7,,,,,1.78
1,7885,1.69,,,1.4,,1.79
3,7885,,,,1.65,,1.79
4,7885,1.9,,,1.5,,1.78
7,7885,1.7,,,,,1.7
21,7885,1.85,,,1.5,,1.79
22,7885,,,,1.7,,1.8
133,7885,1.9,,,,,1.78
134,7885,1.65,,,,,1.79
136,7885,1.87,,,,,1.79
31,7885,2.0,,,1.5,,1.79
32,7885,1.82,,,1.63,,1.79
34,7885,1.85,,,1.55,,1.78
39,7885,1.8,,,1.5,,1.9
144,7885,1.7,,,,,1.79
40,7885,,,,1.48,,1.86
44,7885,1.9,,,,,1.78
48,7885,1.65,,,1.4,,1.79
49,7885,1.8,,,,,1.79
50,7885,1.88,,,,,1.78
51,7885,1.8,,,1.5,,1.79
52,7885,1.75,,,1.45,,1.79
54,7885,1.85,,,,,1.79
55,7885,1.8,,,1.3,,1.79
57,7885,,,,1.7,,1.79
58,7885,1.9,,,1.4,,1.79
60,7885,,,,1.35,,1.8
61,7885,2.0,,,1.5,,1.79
64,7885,1.85,,,1.45,,1.79
65,7885,,,,1.49,,1.78
70,7885,1.75,,,1.4,,1.78
72,7885,1.85,,,,,1.8
73,7885,1.8,,,1.65,,1.79
75,7885,1.81,,,1.34,,1.79
77,7885,1.68,,,1.48,,1.79
78,7885,1.77,,,,,1.81
81,7885,1.85,,,,,1.79
82,7885,1.8,,,,,1.7
85,7885,1.7,,,,,1.79
86,7885,1.8,,,1.55,,1.78
88,7885,,,,,,1.78
98,7885,1.64,,,1.33,,1.79
103,7885,1.7,,,1.4,,1.79
111,7888,,,1.77,,,2.52
14,7888,,,2.02,2.15,,2.28
15,7888,,,1.9,1.89,,2.28
1,7888,,,1.85,1.75,,2.28
3,7888,,,1.8,,,2.28
125,7888,,,,2.0,,2.28
7,7888,,,1.8,1.7,,2.3
22,7888,,,1.8,,,2.3
26,7888,,,,1.85,,2.28
31,7888,,,2.1,2.4,,2.28
32,7888,,,2.04,2.02,,2.28
34,7888,,,1.95,1.7,,2.28
39,7888,,,2.0,1.88,,2.5
144,7888,,,1.9,1.8,,2.29
40,7888,,,1.84,,,2.14
42,7888,,,,1.8,,2.24
44,7888,,,1.9,1.9,,2.28
48,7888,,,1.82,1.7,,2.28
49,7888,,,1.81,1.85,,2.3
50,7888,,,1.89,1.89,,2.28
51,7888,,,2.0,2.0,,2.28
52,7888,,,1.95,1.85,,2.28
54,7888,,,1.95,2.0,,2.28
55,7888,,,2.1,1.9,,2.3
57,7888,,,1.75,,,2.28
60,7888,,,2.4,,,2.3
64,7888,,,2.1,2.15,,2.28
69,7888,,,,1.9,,2.28
70,7888,,,1.9,1.85,,2.28
72,7888,,,2.0,2.05,,2.28
73,7888,,,1.78,1.7,,2.28
75,7888,,,1.95,2.0,,2.28
78,7888,,,1.95,1.83,,2.28
81,7888,,,1.9,1.92,,2.28
82,7888,,,1.8,2.1,,2.2
86,7888,,,1.85,1.85,,2.28
88,7888,,,2.14,,,2.28
91,7888,,,2.0,,,2.29
98,7888,,,1.98,1.82,,2.3
111,7889,2.62,,,1.78,,2.5
115,7889,2.2,,,,,2.5
118,7889,2.1,,,,,2.5
14,7889,2.28,,,2.15,2.2,2.5
15,7889,2.2,,,1.94,1.92,2.48
18,7889,,,,1.95,2.4,2.5
120,7889,2.1,,,,,2.5
1,7889,2.15,,,1.83,1.77,2.5
122,7889,2.14,,,,,2.5
3,7889,2.08,,,1.8,,2.5
124,7889,2.31,,,,,2.36
4,7889,,,,1.91,1.76,2.5
127,7889,2.3,,,,,2.5
7,7889,2.1,,,1.9,1.7,2.5
128,7889,2.1,,,,,2.5
8,7889,2.15,,,,,2.5
22,7889,2.3,,,1.9,,2.5
26,7889,2.2,,,,1.75,2.4
27,7889,,,,2.0,,2.5
28,7889,,,,,1.85,2.5
133,7889,,,,1.96,1.9,2.5
134,7889,,,,1.93,1.87,2.5
138,7889,,,,,1.75,2.5
31,7889,2.3,,,2.1,2.5,2.5
32,7889,2.25,,,2.08,2.05,2.5
39,7889,2.0,,,2.0,1.85,2.4
140,7889,2.0,,,,,2.5
144,7889,2.1,,,1.95,1.9,2.5
145,7889,2.4,,,,,2.5
40,7889,2.19,,,1.87,,2.49
44,7889,2.3,,,1.9,1.9,2.5
46,7889,,,,,2.0,2.53
48,7889,2.1,,,1.83,1.75,2.36
49,7889,2.2,,,1.84,1.89,2.56
50,7889,2.11,,,1.93,1.9,2.5
51,7889,2.2,,,2.0,2.2,2.5
52,7889,2.25,,,2.05,1.9,2.5
54,7889,2.25,,,1.98,1.95,2.5
55,7889,2.3,,,2.15,2.0,2.5
56,7889,2.25,,,,,2.5
57,7889,2.05,,,1.8,,2.5
59,7889,2.3,,,,,2.5
60,7889,2.6,,,2.5,,2.5
64,7889,2.35,,,2.15,2.2,2.5
65,7889,,,,1.94,,2.5
66,7889,2.1,,,,,2.5
68,7889,2.1,,,,,2.5
69,7889,2.35,,,,1.95,2.5
72,7889,2.15,,,2.0,2.1,2.5
73,7889,2.2,,,1.78,1.75,2.5
75,7889,2.3,,,2.0,2.04,2.5
78,7889,2.1,,,2.0,1.8,2.5
81,7889,2.15,,,1.91,1.93,2.5
82,7889,2.2,,,1.9,2.0,2.5
86,7889,2.15,,,1.9,1.9,2.5
88,7889,2.18,,,2.34,,2.49
98,7889,1.9,,,1.98,1.87,2.5
102,7889,2.4,,,,,2.5
104,7889,,,,,1.83,2.5
108,7889,2.2,,,,,2.5
112,7892,,,2.05,,,2.41
115,7892,,,2.0,2.0,,2.39
117,7892,,,2.3,,,2.39
118,7892,,,2.0,1.9,,2.4
14,7892,,,2.3,2.3,,2.44
15,7892,,,1.85,1.95,,2.41
120,7892,,,2.15,2.2,,2.41
1,7892,,,2.0,1.98,,2.41
122,7892,,,2.19,2.2,,2.41
3,7892,,,2.0,1.9,,2.42
124,7892,,,2.26,2.24,,2.41
125,7892,,,,2.0,,2.41
7,7892,,,1.8,1.8,,2.4
8,7892,,,2.19,2.0,,2.41
22,7892,,,2.1,2.1,,2.41
130,7892,,,,2.2,,2.4
133,7892,,,2.1,,,2.41
138,7892,,,2.0,,,2.4
31,7892,,,2.3,2.3,,2.4
32,7892,,,2.35,2.28,,2.41
39,7892,,,2.2,2.0,,2.4
