CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
431,8029,1.0,,,,,3.4
552,8029,0.9,,,,,3.4
510,8029,1.4,,,,,3.4
512,8029,3.2,,,,,3.4
516,8029,0.5488,,,,,3.4
518,8029,2.425,,,,,3.4
519,8029,1.55,,,,,3.4
483,8029,1.0,,,,,3.4
484,8029,2.8,,,,,3.4
520,8029,1.7,,,,,3.4
521,8029,2.0,,,,,3.4
527,8029,1.1,,,,,3.4
528,8029,2.7556,,,,,3.4
20,8029,2.7,,,,,3.4
411,8029,1.7,,,,,3.4
456,8029,2.25,,,,,3.4
535,8029,2.0,,,,,3.4
463,8029,1.2,,,,,3.4
540,8029,2.7,,,,,3.4
420,8029,1.9,,,,,3.4
541,8029,2.6,,,,,3.4
421,8029,-0.2,,,,,3.4
544,8029,2.5,,,,,3.4
424,8029,0.6,,,,,3.4
546,8029,1.8,,,,,3.4
426,8029,1.7,,,,,3.4
548,8029,2.69,,,,,3.4
84,8029,2.0,,,,,3.4
507,8029,1.5,,,,,3.4
508,8029,0.9852,,,,,3.4
551,8030,1.9963,,,,,4.3
431,8030,4.9,2.6,,,,4.3
552,8030,4.0,1.6,,,,4.3
433,8030,,1.5,,,,4.3
510,8030,1.2,1.6,,,,4.3
512,8030,3.0,3.3,,,,4.3
518,8030,1.9704,1.8049,,,,4.3
519,8030,3.89,2.05,,,,4.3
483,8030,3.2,1.8,,,,4.3
484,8030,2.8,2.2,,,,4.3
521,8030,5.0267,2.8,,,,4.3
527,8030,3.3,2.2,,,,4.3
528,8030,4.0,2.0601,,,,4.3
411,8030,5.0,2.0,,,,4.3
456,8030,2.5,2.5,,,,4.3
533,8030,,1.5,,,,
535,8030,4.5,2.4,,,,4.3
463,8030,3.9,2.3,,,,4.3
540,8030,3.3,2.5,,,,4.3
420,8030,2.5,2.9,,,,4.3
422,8030,3.2,,,,,4.3
544,8030,2.3,2.3,,,,4.3
424,8030,4.0585,1.6516,,,,4.3
546,8030,4.2,2.0,,,,4.3
426,8030,2.0,2.8,,,,4.3
504,8030,,0.2846,,,,4.3
548,8030,4.035,2.0,,,,4.3
428,8030,,2.6,,,,4.3
429,8030,3.5,,,,,4.3
506,8030,3.9,,,,,4.3
84,8030,3.1,2.2,,,,4.3
507,8030,4.567,2.5,,,,4.3
508,8030,1.7373,1.3119,,,,4.3
550,8031,,4.8,,,,1.7
431,8031,2.5,2.2,2.4,,,1.7
552,8031,1.7,1.7,2.0,,,1.7
510,8031,1.7,1.7,1.6,,,1.7
554,8031,2.4,,,,,1.7
512,8031,3.5,3.0,3.2,,,1.7
518,8031,1.3146,1.3859,2.0661,,,1.7
519,8031,1.49,0.93,2.23,,,1.7
483,8031,3.2,3.2,2.0,,,1.7
484,8031,-1.5,2.5,2.5,,,1.7
521,8031,1.9068,3.2347,2.6,,,1.7
448,8031,,,2.6255,,,1.7
527,8031,3.0,3.0,2.6,,,1.7
528,8031,0.1,1.0,2.1459,,,1.7
20,8031,,2.1,2.7,,,1.7
411,8031,1.7,2.4,2.2,,,1.7
456,8031,2.0,2.0,2.0,,,1.7
535,8031,1.9,2.3,2.3,,,1.7
463,8031,2.8,2.1,2.8,,,1.7
540,8031,1.54,2.3,2.3,,,1.7
420,8031,2.5,2.0,2.5,,,1.7
421,8031,,2.9,2.9,,,1.7
422,8031,2.0,2.0,,,,1.7
544,8031,1.8,2.0,2.0,,,1.7
424,8031,2.0,1.3913,2.6271,,,1.7
546,8031,2.0,2.2,2.3,,,1.7
504,8031,-0.1981,,1.9356,,,1.7
548,8031,0.9835,0.9835,2.14,,,1.7
428,8031,2.9,,1.8,,,1.7
429,8031,2.0,1.2,,,,1.7
84,8031,3.0,3.2,2.6,,,1.7
507,8031,2.2504,2.2959,2.2,,,1.7
508,8031,3.5075,1.6904,0.716,,,1.7
550,8032,3.0,,4.0,,,3.9
431,8032,2.2,1.0,2.2,2.4,,3.9
552,8032,2.0,1.7,1.7,2.2,,3.9
510,8032,1.1,2.0,1.7,1.5,,3.9
554,8032,2.4,2.0,,,,3.9
555,8032,1.8,,,,,3.9
512,8032,3.0,3.25,3.2,3.2,,3.9
518,8032,2.5189,1.3809,1.5021,1.6641,,3.9
519,8032,3.24,1.32,1.22,1.88,,3.9
99,8032,,,2.1,,,3.9
483,8032,3.8,3.1,3.1,2.2,,3.9
484,8032,2.3,2.2,2.2,2.2,,3.9
521,8032,3.2,1.658,2.4361,2.6,,3.9
448,8032,2.6,,,2.8295,,3.9006
527,8032,2.3,2.8,2.5,1.8,,3.9
528,8032,2.7,1.2,1.2,1.9828,,3.9
411,8032,3.1,1.4,2.0,2.2,,3.9
535,8032,3.3,1.7,1.9,2.2,,3.9
463,8032,3.1,2.5,2.2,2.7,,3.9
540,8032,2.7,2.7,2.2,2.2,,3.9
420,8032,2.0,1.6,1.2,1.4,,3.9
421,8032,3.4,,2.4,2.4,,3.9
542,8032,3.8,,,,,3.9
422,8032,2.0,2.3,2.3,,,3.9
424,8032,2.9617,0.8406,0.9372,1.6866,,3.9
546,8032,3.0,2.0,2.0,2.2,,3.9
426,8032,,3.1,2.2,2.7,,3.9
504,8032,4.4206,-0.1981,,1.6333,,3.9
