CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
13,7880,130.0,129.0,127.0,,126.0,131.0
14,7880,130.0,130.0,,,127.0,131.0
15,7880,130.0,130.0,128.0,130.0,127.0,130.0
16,7880,130.0,,127.0,126.0,126.0,130.0
18,7880,131.0,129.0,128.0,126.0,124.0,131.0
1,7880,131.0,129.0,128.0,,126.0,131.0
3,7880,130.0,130.0,129.0,128.0,,131.0
4,7880,131.0,,128.0,127.0,127.0,131.0
6,7880,131.0,129.0,126.0,126.0,126.0,131.0
7,7880,131.0,,,127.0,127.0,131.0
8,7880,131.0,,128.0,128.0,127.0,130.0
9,7880,131.0,,128.0,128.0,128.0,130.0
22,7880,131.0,129.0,,127.0,127.0,131.0
28,7880,,,128.0,,,131.0
29,7880,131.0,129.0,,128.0,127.0,131.0
31,7880,130.0,128.0,127.0,126.0,126.0,131.0
32,7880,,,127.0,126.0,127.0,130.0
33,7880,131.0,128.0,128.0,,127.0,130.0
34,7880,,130.0,,,127.0,131.0
40,7880,130.0,130.0,,,,130.0
44,7880,,129.0,,128.0,,130.0
45,7880,,,127.0,,126.0,130.0
46,7880,130.0,130.0,128.0,127.0,127.0,131.0
48,7880,131.0,129.0,127.0,126.0,126.0,130.0
49,7880,131.0,130.0,129.0,128.0,128.0,131.0
51,7880,131.0,130.0,128.0,128.0,128.0,130.0
52,7880,130.0,,128.0,127.0,127.0,131.0
55,7880,,,128.0,,128.0,131.0
56,7880,131.0,130.0,127.0,,129.0,131.0
57,7880,130.0,,,128.0,128.0,131.0
58,7880,131.0,130.0,128.0,127.0,127.0,131.0
59,7880,,,,127.0,127.0,131.0
61,7880,130.0,129.0,128.0,128.0,126.0,131.0
64,7880,130.0,130.0,129.0,127.0,127.0,131.0
66,7880,131.0,,128.0,128.0,128.0,131.0
67,7880,131.0,,129.0,128.0,128.0,130.0
69,7880,,130.0,127.0,125.0,124.0,131.0
70,7880,130.0,130.0,128.0,128.0,127.0,131.0
72,7880,,,127.0,127.0,128.0,130.0
73,7880,130.0,,127.0,127.0,127.0,131.0
74,7880,,132.0,129.0,128.0,128.0,131.0
75,7880,131.0,,128.0,,127.0,131.0
78,7880,130.0,,,126.0,128.0,131.0
79,7880,,,128.0,128.0,127.0,131.0
82,7880,130.0,129.0,128.0,,126.0,130.0
83,7880,130.0,,129.0,,127.0,130.0
86,7880,130.0,130.0,128.0,,127.0,131.0
88,7880,131.0,,128.0,,127.0,130.0
89,7880,,,129.0,128.0,127.0,131.0
92,7880,131.0,,128.0,128.0,,131.0
97,7880,131.0,131.0,,,,130.0
98,7880,130.0,128.0,,,,131.0
101,7880,130.0,,,,,131.0
102,7880,130.0,129.0,,,,131.0
103,7880,130.0,129.0,,,,131.0
104,7880,,131.0,,,,130.0
10,7881,,,131.0,129.0,,132.0
14,7881,132.0,132.0,132.0,,,132.0
15,7881,132.0,132.0,131.0,129.0,,132.0
1,7881,132.0,132.0,130.0,129.0,,132.0
3,7881,132.0,132.0,131.0,130.0,,134.0
4,7881,132.0,132.0,,129.0,,132.0
6,7881,132.0,132.0,130.0,126.0,,132.0
7,7881,132.0,132.0,,,,132.0
8,7881,133.0,133.0,,129.0,,132.0
21,7881,,132.0,,130.0,,133.0
22,7881,132.0,132.0,129.0,,,132.0
23,7881,,132.0,131.0,128.0,,132.0
26,7881,,,129.0,127.0,,132.0
28,7881,132.0,,,129.0,,132.0
29,7881,132.0,133.0,130.0,,,132.0
32,7881,132.0,,,128.0,,132.0
34,7881,132.0,,131.0,,,132.0
38,7881,,131.0,129.0,128.0,,132.0
39,7881,,,132.0,,,132.0
40,7881,132.0,131.0,132.0,,,132.0
46,7881,132.0,132.0,131.0,129.0,,132.0
48,7881,132.0,132.0,129.0,128.0,,132.0
49,7881,132.0,132.0,131.0,130.0,,132.0
51,7881,132.0,132.0,132.0,129.0,,132.0
52,7881,132.0,132.0,,129.0,,133.0
54,7881,,132.0,131.0,,,132.0
55,7881,133.0,,,129.0,,132.0
56,7881,132.0,132.0,131.0,128.0,,132.0
57,7881,132.0,132.0,,,,132.0
58,7881,132.0,132.0,131.0,129.0,,132.0
60,7881,,132.0,,,,132.0
61,7881,132.0,131.0,130.0,129.0,,132.0
64,7881,132.0,131.0,131.0,130.0,,132.0
65,7881,,,131.0,,,132.0
66,7881,132.0,132.0,,128.0,,132.0
67,7881,132.0,132.0,,130.0,,132.0
69,7881,133.0,,131.0,128.0,,132.0
70,7881,132.0,132.0,131.0,129.0,,132.0
73,7881,132.0,132.0,,127.0,,132.0
75,7881,133.0,133.0,,129.0,,132.0
77,7881,,131.0,131.0,,,132.0
83,7881,131.0,131.0,,130.0,,132.0
86,7881,132.0,132.0,131.0,129.0,,132.0
89,7881,132.0,,,130.0,,132.0
97,7881,132.0,133.0,133.0,,,132.0
98,7881,132.0,131.0,129.0,,,132.0
103,7881,133.0,132.0,130.0,,,132.0
107,7881,,,132.0,,,132.0
10,7882,134.0,,,132.0,,134.0
13,7882,,135.0,131.0,129.0,,134.0
15,7882,134.0,133.0,133.0,132.0,,134.0
16,7882,,133.0,131.0,,,134.0
18,7882,,133.0,135.0,130.0,,134.0
1,7882,134.0,133.0,134.0,131.0,,134.0
3,7882,135.0,133.0,133.0,132.0,,135.0
4,7882,134.0,134.0,133.0,,,134.0
6,7882,133.0,133.0,134.0,130.0,,134.0
7,7882,134.0,133.0,133.0,,,134.0
8,7882,133.0,134.0,134.0,,,133.0
21,7882,135.0,,134.0,,,134.0
22,7882,133.0,134.0,133.0,130.0,,134.0
23,7882,133.0,,133.0,132.0,,134.0
28,7882,132.0,134.0,,,,134.0
31,7882,,133.0,131.0,129.0,,134.0
32,7882,133.0,134.0,,,,134.0
33,7882,,132.0,134.0,130.0,,134.0
34,7882,134.0,133.0,,132.0,,134.0
38,7882,133.0,,132.0,130.0,,134.0
40,7882,134.0,133.0,132.0,133.0,,134.0
42,7882,,,,,,134.0
43,7882,,,,,,134.0
46,7882,134.0,133.0,133.0,132.0,,134.0
48,7882,133.0,133.0,133.0,130.0,,134.0
49,7882,134.0,133.0,133.0,133.0,,134.0
