CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
16,7927,46.0,,,,,43.0
19,7927,45.0,,,,,43.0
4,7927,47.5,,,,,43.2
5,7927,46.0,,,,,42.0
23,7927,45.0,,,,,43.0
30,7927,47.0,,,,,43.2
31,7927,48.1,,,,,43.0
35,7927,48.2,,,,,43.3
40,7927,48.2,,,,,43.2
62,7927,45.0,,,,,43.3
68,7927,45.9,,,,,43.0
70,7927,44.0,,,,,43.0
74,7927,46.0,,,,,43.0
79,7927,46.0,,,,,43.0
82,7927,47.0,,,,,43.0
16,7928,43.0,48.0,,,,51.0
19,7928,39.0,42.0,,,,39.0
5,7928,41.0,44.0,,,,39.0
23,7928,44.0,44.0,,,,40.0
30,7928,40.0,48.0,,,,40.0
31,7928,39.0,47.0,,,,39.3
35,7928,41.6,48.1,,,,39.0
40,7928,40.5,45.0,,,,39.3
41,7928,40.0,,,,,40.0
47,7928,40.0,,,,,39.5
53,7928,40.0,,,,,39.5
58,7928,42.0,,,,,40.0
62,7928,38.0,44.0,,,,39.5
65,7928,,44.0,,,,40.0
67,7928,40.0,,,,,39.3
68,7928,41.0,43.9,,,,39.0
70,7928,40.0,44.0,,,,39.0
79,7928,41.0,46.0,,,,40.0
13,7929,,40.0,,,,38.3
16,7929,49.0,45.0,50.0,,,38.0
19,7929,39.0,39.0,43.0,,,39.0
3,7929,38.9,,,,,39.0
4,7929,,40.8,52.4,,,38.3
5,7929,38.0,43.0,47.0,,,39.0
20,7929,,46.0,,,,38.3
30,7929,33.0,40.0,48.0,,,38.3
31,7929,36.6,38.0,50.6,,,39.0
33,7929,,,48.5,,,39.0
35,7929,39.0,42.6,50.3,,,38.9
40,7929,38.9,39.6,44.1,,,38.3
41,7929,39.0,30.0,,,,38.0
47,7929,44.0,39.0,,,,38.3
53,7929,37.5,40.0,,,,38.3
58,7929,42.0,42.0,,,,38.0
60,7929,36.8,,,,,38.0
62,7929,37.0,37.0,46.0,,,39.0
65,7929,39.0,,47.0,,,38.0
67,7929,37.5,38.0,,,,38.3
68,7929,38.0,38.0,44.0,,,39.0
70,7929,41.0,44.0,46.0,,,39.0
75,7929,,49.7,,,,46.0
78,7929,38.7,,,,,36.4
79,7929,39.0,40.0,47.0,,,38.0
80,7929,,41.0,,,,38.3
83,7929,33.0,,,,,39.0
88,7929,,,,,,38.0
16,7930,40.0,48.0,46.0,53.0,,39.0
19,7930,39.0,39.0,41.0,45.0,,46.0
3,7930,38.0,40.4,,,,39.9
5,7930,40.0,41.0,45.0,51.0,,40.0
20,7930,37.0,,49.0,,,39.2
23,7930,,42.0,45.0,46.0,,39.0
25,7930,,,,53.6,,39.2
30,7930,40.0,33.0,38.0,49.0,,39.2
33,7930,39.0,,,52.5,,39.9
35,7930,39.7,41.0,44.1,54.7,,39.9
39,7930,,,42.0,,,39.0
43,7930,,,,53.0,,39.0
47,7930,35.0,43.5,40.0,,,39.2
51,7930,39.0,,,,,39.2
58,7930,37.0,41.0,43.0,,,39.0
60,7930,38.0,39.1,,,,39.0
61,7930,,40.3,,,,39.2
62,7930,39.0,40.0,40.0,49.0,,39.9
65,7930,41.0,43.0,,50.0,,47.0
68,7930,38.0,38.0,38.0,44.5,,40.0
70,7930,40.0,44.0,49.0,48.0,,39.9
78,7930,38.9,42.2,,,,40.0
79,7930,39.0,42.0,43.0,49.0,,39.0
80,7930,40.2,,42.0,,,39.0
87,7930,,42.0,,,,39.0
