CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
16,7927,15.0,,,,,15.0
18,7927,15.6,,,,,15.1
19,7927,14.9,,,,,15.1
4,7927,14.6,,,,,15.09
23,7927,14.8,,,,,15.1
25,7927,15.6,,,,,15.1
30,7927,14.9,,,,,15.1
31,7927,14.8,,,,,15.1
35,7927,15.3,,,,,15.1
40,7927,14.8,,,,,14.9
58,7927,15.4,,,,,15.1
62,7927,15.0,,,,,15.1
68,7927,15.08,,,,,15.05
70,7927,15.1,,,,,15.1
74,7927,15.3,,,,,15.1
75,7927,14.8,,,,,14.6
79,7927,15.1,,,,,15.1
82,7927,14.9,,,,,15.05
84,7927,15.2,,,,,15.0
16,7928,11.0,13.0,,,,11.8
19,7928,11.8,14.5,,,,12.0
9,7928,10.8,,,,,12.0
21,7928,,15.5,,,,12.02
23,7928,14.7,14.7,,,,12.0
30,7928,14.2,14.7,,,,12.0
31,7928,11.7,15.3,,,,12.0
35,7928,12.5,15.3,,,,11.8
36,7928,,,,,,12.02
40,7928,13.75,14.4,,,,12.0
47,7928,12.5,,,,,12.0
53,7928,11.5,,,,,12.0
58,7928,11.8,16.0,,,,12.0
63,7928,14.4,,,,,12.1
65,7928,,14.65,,,,11.75
67,7928,11.5,,,,,11.9
68,7928,11.15,14.4,,,,
69,7928,,14.5,,,,12.0
70,7928,11.0,14.0,,,,12.0
72,7928,,13.0,,,,12.25
75,7928,11.0,14.0,,,,11.0
79,7928,13.0,14.5,,,,11.8
86,7928,,14.5,,,,11.94
13,7929,,14.7,,,,12.9
16,7929,13.5,9.0,13.0,,,12.9
19,7929,12.5,11.0,13.0,,,12.8
3,7929,12.6,,,,,12.8
4,7929,,11.8,10.0,,,12.9
9,7929,15.0,10.8,,,,12.9
20,7929,,14.0,,,,12.85
30,7929,14.5,14.0,14.5,,,12.8
31,7929,13.0,10.5,13.3,,,12.9
33,7929,,,13.5,,,12.8
35,7929,13.2,12.7,13.5,,,12.8
40,7929,13.5,12.75,13.8,,,12.85
47,7929,13.5,10.3,,,,12.9
53,7929,13.3,9.0,,,,12.9
58,7929,12.8,14.0,16.4,,,12.9
60,7929,12.5,,,,,12.8
62,7929,,9.0,12.0,,,13.5
63,7929,12.0,13.75,,,,12.9
65,7929,12.5,,15.5,,,12.9
67,7929,12.5,10.0,,,,12.8
68,7929,12.8,9.78,14.87,,,12.8
69,7929,12.0,,14.5,,,12.9
70,7929,13.0,9.0,13.5,,,12.9
72,7929,13.5,,12.0,,,12.9
74,7929,,10.2,14.7,,,12.9
75,7929,11.75,11.0,13.0,,,11.75
78,7929,11.97,,,,,12.8
