ID,Date,HOUSING,NGDP,PGDP,UNEMPLOY,INPROD,RGDP,RCON,RINV,RINVRES,RFEDGOV,RGSL,RCBI,CPI,PCON,EMPLOY
1,1948:Q1,1321.333333,248,12.722,3.766666667,67.83333333,317.1,208.5,38.5,17.9,19.3,21.8,3.4,23.61666667,81.1031,44620.33333
2,1948:Q2,1464,255.6,12.872,3.766666667,68.53333333,322.9,210.7,37.5,18.7,23,22.5,4.7,23.99333333,82.0123,44642
3,1948:Q3,1350.333333,262.5,13.097,3.766666667,69.16666667,325.8,211.1,37.5,18,25,22.8,5.8,24.39666667,83.2307,45102.33333
4,1948:Q4,1201.333333,263.9,13.092,3.833333333,68.5,328.7,212.8,38.5,16.8,27.3,23.3,4.4,24.17333333,82.9887,45077.33333
5,1949:Q1,1168,258.5,13.05,4.633333333,66.16666667,324.5,213.2,36.7,16,26.8,24.4,-0.5,23.94333333,82.2702,44427
6,1949:Q2,1317.333333,255.2,12.969,5.9,64.16666667,322.5,216.3,35.1,16.2,28.2,25.6,-6.3,23.91666667,81.7383,43844
7,1949:Q3,1495.666667,257.1,12.876,6.666666667,64.3,326.1,216.8,33.4,17.7,28.1,26.1,-2.5,23.71666667,81.2731,43544.66667
8,1949:Q4,1757,255,12.873,7,64.03333333,323.3,219.7,32.7,19.8,27.1,26.7,-6.5,23.66,81.3837,43166.33333
9,1950:Q1,1897.666667,266,12.837,6.4,67.4,339.6,223.5,33.6,22,26.2,27.2,3.5,23.58666667,81.2975,43510
10,1950:Q2,2013,275.4,12.891,5.566666667,73.06666667,348.5,227.6,36.5,23.7,23.8,27.5,6,23.76666667,81.6344,44626
11,1950:Q3,1997.666667,293.1,13.159,4.7,78.96666667,362.8,238.8,39.9,24.8,24,27.7,6,24.20333333,83.5008,45916.33333
12,1950:Q4,1688.666667,304.5,13.37,4.233333333,80.33333333,370.1,232.1,40,23.5,27,27.7,17.6,24.69333333,84.8772,46652.66667
13,1951:Q1,1682.333333,318,13.821,3.533333333,81.9,374.8,236,38.8,22.2,36.6,27.7,10.7,25.69666667,87.9237,47503.33333
14,1951:Q2,1376.666667,325.8,13.902,3.166666667,82.16666667,381.5,230,39.8,19.3,43.9,27.8,16,25.94666667,88.2174,47890
15,1951:Q3,1349,332.8,13.946,3.2,80.3,388.7,232,40.3,18.1,51.8,28,11.6,25.93333333,88.5345,47845.33333
16,1951:Q4,1346.666667,336.9,14.13,3.433333333,80.8,388.7,233.3,39.4,18.2,57.5,28.1,5.4,26.31666667,89.67,48017.33333
17,1952:Q1,1462.333333,339.5,14.147,3.1,82.6,391.4,233.7,39.5,18.6,59.8,28.1,5.7,26.41666667,90.03,48399
18,1952:Q2,1391,339.1,14.201,3.066666667,81.43333333,389.6,238.1,39.6,18.9,63.1,28.6,-2.5,26.48666667,90.1302,48391.33333
19,1952:Q3,1454.666667,345.6,14.308,3.3,83.63333333,393.9,239.1,35.7,18.7,66.6,28,4.2,26.66666667,90.6315,48612.33333
20,1952:Q4,1488,357.7,14.359,2.833333333,89.73333333,405.3,246.8,38.4,19.5,65.6,28.8,5.7,26.69666667,91.1669,49721
21,1953:Q1,1483.333333,364.2,14.373,2.7,91.56666667,412.1,250.1,40.4,19.9,68.4,29.2,3.1,26.62,91.3235,50267.33333
22,1953:Q2,1434.333333,367.5,14.407,2.666666667,92.96666667,416.4,251.5,40.4,19.9,70.7,29.1,3.8,26.72,91.4911,50409.33333
23,1953:Q3,1339.333333,365.8,14.461,2.733333333,92.8,413.7,251.1,41.1,19.3,70,29.9,1.2,26.84333333,91.9952,50296.66667
24,1953:Q4,1356,360.8,14.504,3.7,87.8,408.8,250.4,40.7,19.2,70.8,30.5,-4.3,26.89,91.9728,49877.66667
25,1954:Q1,1395.333333,360.7,14.565,5.233333333,84.93333333,402.9,250.8,39.5,19.7,62.6,31.4,-2.9,26.95333333,92.6236,49270.33333
26,1954:Q2,1447.666667,360.4,14.592,5.8,85.16666667,402.1,253.3,39.5,21.1,57.1,31.6,-3.6,26.91,92.6174,48901.33333
