Old_Id,YEAR,QUARTER,ID,INDUSTRY,Previous_Quarter,End_of_Current_Quarter,Next_Quarter,Next_Quarter+1,Next_Quarter+2,Next_Quarter+3,Average_over_Current_year,Average_over_Next_year,Series,Latest_available_end_of_Current,Latest_available_Year,Latest_available_Quarter,Earliest_available_end_of_Current,Earliest_available_Year,Earliest_available_Quarter
2686,1981,3,4,,181.0,181.0,182.0,182.0,183.0,184.0,182.0,184.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2687,1981,3,5,,181.0,180.0,180.0,180.0,180.0,180.0,181.0,180.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2690,1981,3,16,,181.0,184.0,185.0,186.0,187.0,188.0,183.0,188.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2691,1981,3,18,,181.0,180.0,182.0,184.0,185.0,187.0,181.0,186.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2692,1981,3,19,,181.0,180.0,180.0,181.0,181.0,181.0,181.0,181.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2694,1981,3,23,,181.0,182.0,182.0,184.0,184.0,183.0,182.0,183.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2695,1981,3,25,,187.2,187.1,186.0,185.6,185.0,184.5,187.4,185.1,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2696,1981,3,30,,181.0,180.0,178.0,178.0,182.0,184.0,181.0,183.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2697,1981,3,31,,,181.0,181.0,180.0,180.0,180.0,181.0,181.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2698,1981,3,33,,181.0,181.0,181.0,182.0,182.0,182.0,181.0,182.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
2700,1981,3,35,,181.0,180.0,181.0,180.0,180.0,180.0,181.0,180.0,RSLGOV,1016.1,2018.0,4.0,178.9,1981.0,4.0
