CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
13,7880,950.0,945.0,940.0,,935.0,953.0
14,7880,951.0,954.0,,,940.0,953.0
15,7880,953.0,949.0,938.0,944.0,942.0,953.0
16,7880,952.0,,930.0,945.0,945.0,953.0
18,7880,957.0,946.0,937.0,924.0,952.0,953.0
1,7880,957.0,947.0,946.0,,938.0,953.0
3,7880,953.0,947.0,943.0,944.0,944.0,953.0
4,7880,956.0,,938.0,930.0,937.0,953.0
6,7880,960.0,947.0,930.0,935.0,925.0,953.0
7,7880,958.0,,,952.0,949.0,953.0
8,7880,956.0,,939.0,949.0,936.0,953.0
9,7880,956.0,,936.0,940.0,930.0,953.0
22,7880,954.0,951.0,,950.0,949.0,953.0
28,7880,,,914.0,,,953.0
29,7880,956.0,941.0,,940.0,940.0,953.0
31,7880,960.0,960.0,960.0,960.0,960.0,953.0
32,7880,,,939.0,943.0,934.0,953.0
33,7880,945.0,945.0,942.0,,961.0,953.0
34,7880,,952.0,,,939.0,953.0
40,7880,953.0,959.0,952.0,938.0,937.0,953.0
44,7880,,952.0,,932.0,,953.0
45,7880,,,945.0,,940.0,953.0
46,7880,955.0,947.0,938.0,942.0,938.0,953.0
48,7880,960.0,943.0,942.0,942.0,947.0,953.0
49,7880,953.0,947.0,937.0,934.0,928.0,953.0
51,7880,954.0,953.0,945.0,945.0,948.0,953.0
52,7880,953.0,,946.0,941.0,941.0,953.0
55,7880,,,950.0,,952.0,952.0
56,7880,954.0,958.0,948.0,,955.0,953.0
57,7880,950.0,,,932.0,925.0,953.0
58,7880,954.0,948.0,938.0,939.0,939.0,953.0
59,7880,,,,947.0,947.0,953.0
61,7880,953.0,955.0,946.0,942.0,944.0,953.0
64,7880,954.0,946.0,931.0,928.0,925.0,953.0
66,7880,957.0,,951.0,950.0,950.0,953.0
67,7880,956.0,,937.0,946.0,942.0,953.0
69,7880,,930.0,904.0,880.0,880.0,953.0
70,7880,955.0,957.0,941.0,936.0,932.0,953.0
71,7880,,,,,937.0,953.0
72,7880,,,945.0,940.0,945.0,953.0
73,7880,955.0,,950.0,944.0,944.0,953.0
74,7880,,948.0,946.0,942.0,946.0,953.0
75,7880,949.0,,941.0,,931.0,953.0
78,7880,955.0,951.0,,950.0,952.0,953.0
79,7880,,,938.0,938.0,885.0,953.0
82,7880,955.0,952.0,945.0,,944.0,953.0
83,7880,959.0,,930.0,,940.0,953.0
86,7880,956.0,951.0,943.0,,941.0,953.0
88,7880,948.0,,949.0,,951.0,953.0
89,7880,,,943.0,929.0,928.0,953.0
92,7880,956.0,,942.0,937.0,,953.0
97,7880,950.0,950.0,,,,953.0
98,7880,954.0,946.0,,,,953.0
101,7880,952.0,,,,,951.0
102,7880,960.0,952.0,,,,953.0
103,7880,951.0,947.0,,,,953.0
104,7880,,951.0,,,,953.0
10,7881,,,970.0,963.0,,960.0
14,7881,960.0,962.0,970.0,,,960.0
15,7881,964.0,963.0,962.0,953.0,,958.0
1,7881,959.0,967.0,957.0,967.0,,960.0
3,7881,961.0,962.0,957.0,959.0,,960.0
4,7881,969.0,970.0,,949.0,,960.0
6,7881,960.0,967.0,952.0,932.0,,959.0
7,7881,961.0,966.0,,,,960.0
8,7881,966.0,966.0,,952.0,,960.0
21,7881,,964.0,,952.0,,961.0
22,7881,965.0,967.0,962.0,,,960.0
23,7881,,967.0,966.0,961.0,,960.0
26,7881,,,972.0,970.0,,960.0
28,7881,954.0,,,916.0,,960.0
29,7881,960.0,966.0,953.0,,,960.0
31,7881,962.0,975.0,975.0,975.0,,960.0
32,7881,962.0,,,953.0,,960.0
34,7881,963.0,,962.0,,,960.0
38,7881,,953.0,958.0,952.0,,960.0
39,7881,,,977.0,,,960.0
40,7881,963.0,966.0,970.0,965.0,,960.0
46,7881,962.0,961.0,955.0,948.0,,960.0
48,7881,960.0,970.0,955.0,957.0,,960.0
49,7881,961.0,961.0,956.0,952.0,,960.0
51,7881,964.0,965.0,960.0,954.0,,960.0
52,7881,958.0,961.0,,959.0,,960.0
54,7881,,957.0,955.0,,,961.0
55,7881,962.0,,,965.0,,960.0
56,7881,966.0,969.0,973.0,962.0,,960.0
57,7881,958.0,955.0,,,,960.0
58,7881,965.0,968.0,960.0,952.0,,960.0
60,7881,,973.0,,,,960.0
61,7881,962.0,959.0,965.0,959.0,,960.0
64,7881,960.0,960.0,953.0,,,960.0
65,7881,,,964.0,,,960.0
66,7881,964.0,968.0,,964.0,,960.0
67,7881,963.0,964.0,,947.0,,960.0
69,7881,960.0,,925.0,901.0,,960.0
70,7881,967.0,967.0,970.0,952.0,,961.0
73,7881,965.0,965.0,,970.0,,960.0
75,7881,963.0,955.0,,951.0,,960.0
77,7881,,954.0,940.0,,,961.0
83,7881,962.0,969.0,,941.0,,960.0
86,7881,963.0,966.0,963.0,958.0,,960.0
89,7881,957.0,,,953.0,,959.0
97,7881,960.0,950.0,945.0,,,960.0
98,7881,962.0,963.0,956.0,,,960.0
103,7881,962.0,960.0,955.0,,,960.0
107,7881,,,975.0,,,960.0
10,7882,975.0,,,982.0,,970.0
13,7882,,980.0,960.0,960.0,,970.0
15,7882,974.0,976.0,976.0,974.0,,970.0
16,7882,,965.0,970.0,,,970.0
18,7882,,973.0,983.0,963.0,,970.0
1,7882,971.0,973.0,977.0,965.0,,970.0
3,7882,973.0,974.0,973.0,970.0,,970.0
4,7882,972.0,984.0,985.0,,,970.0
6,7882,963.0,964.0,972.0,955.0,,970.0
7,7882,970.0,970.0,972.0,,,970.0
8,7882,968.0,970.0,970.0,,,970.0
21,7882,969.0,,973.0,,,970.0
22,7882,965.0,976.0,983.0,975.0,,970.0
23,7882,974.0,,982.0,985.0,,970.0
28,7882,962.0,956.0,,,,970.0
31,7882,968.0,970.0,990.0,990.0,,970.0
32,7882,969.0,971.0,,,,970.0
33,7882,,965.0,950.0,966.0,,970.0
34,7882,971.0,973.0,,976.0,,970.0
38,7882,973.0,,960.0,965.0,,970.0
40,7882,972.0,972.0,976.0,982.0,,970.0
42,7882,,,,,,971.0
43,7882,,,,,,970.0
46,7882,971.0,968.0,968.0,965.0,,970.0
48,7882,965.0,965.0,980.0,970.0,,970.0
49,7882,971.0,970.0,971.0,971.0,,970.0
51,7882,973.0,974.0,975.0,968.0,,970.0
52,7882,972.0,970.0,976.0,,,970.0
54,7882,963.0,,956.0,960.0,,970.0
58,7882,976.0,977.0,977.0,973.0,,975.0
59,7882,,972.0,,,,970.0
60,7882,974.0,,988.0,,,970.0
61,7882,979.0,976.0,975.0,975.0,,970.0
64,7882,975.0,966.0,965.0,964.0,,969.0
65,7882,979.0,,,977.0,,970.0
66,7882,970.0,972.0,975.0,,,970.0
67,7882,971.0,971.0,972.0,,,970.0
69,7882,970.0,970.0,,920.0,,970.0
72,7882,,976.0,,,,970.0
73,7882,975.0,975.0,975.0,,,970.0
75,7882,973.0,973.0,962.0,,,970.0
77,7882,970.0,,965.0,950.0,,970.0
78,7882,,978.0,983.0,981.0,,970.0
79,7882,,975.0,,,,970.0
82,7882,,975.0,972.0,980.0,,970.0
85,7882,,,974.0,981.0,,970.0
86,7882,970.0,975.0,978.0,978.0,,970.0
91,7882,,,970.0,,,970.0
98,7882,972.0,972.0,974.0,968.0,,970.0
100,7882,,,980.0,973.0,,970.0
102,7882,,973.0,995.0,980.0,,970.0
103,7882,970.0,970.0,965.0,970.0,,970.0
104,7882,,975.0,,975.0,,970.0
14,7883,,986.0,987.0,995.0,,985.0
15,7883,987.0,993.0,996.0,996.0,,986.0
16,7883,980.0,,974.0,982.0,,986.0
18,7883,981.0,,982.0,993.0,,986.0
1,7883,987.0,989.0,993.0,990.0,,986.0
3,7883,990.0,993.0,991.0,992.0,,986.0
7,7883,981.0,981.0,980.0,980.0,,986.0
21,7883,983.0,984.0,,988.0,,986.0
23,7883,985.0,989.0,,1000.0,,986.0
26,7883,,991.0,,,,986.0
28,7883,972.0,963.0,958.0,,,986.0
131,7883,,,,,,986.0
132,7883,,,,,,986.0
31,7883,984.0,980.0,990.0,1010.0,,986.0
32,7883,985.0,983.0,987.0,,,985.0
34,7883,989.0,987.0,987.0,,,986.0
38,7883,990.0,995.0,,987.0,,986.0
39,7883,,988.0,,,,986.0
40,7883,988.0,983.0,986.0,992.0,,985.0
42,7883,988.0,,,,,985.0
46,7883,982.0,984.0,981.0,982.0,,986.0
48,7883,980.0,970.0,975.0,995.0,,986.0
49,7883,984.0,988.0,982.0,986.0,,986.0
51,7883,985.0,987.0,985.0,988.0,,986.0
52,7883,983.0,990.0,990.0,997.0,,986.0
54,7883,980.0,972.0,,963.0,,986.0
55,7883,,992.0,995.0,,,986.0
56,7883,,989.0,995.0,995.0,,986.0
58,7883,993.0,994.0,997.0,995.0,,986.0
59,7883,986.0,,990.0,,,986.0
61,7883,990.0,1002.0,1000.0,996.0,,986.0
64,7883,979.0,982.0,974.0,976.0,,984.0
65,7883,987.0,994.0,,,,986.0
66,7883,984.0,983.0,986.0,989.0,,985.0
67,7883,975.0,983.0,983.0,983.0,,986.0
69,7883,978.0,980.0,978.0,,,986.0
70,7883,,987.0,990.0,990.0,,986.0
72,7883,982.0,,990.0,,,986.0
73,7883,985.0,988.0,988.0,988.0,,986.0
75,7883,982.0,987.0,987.0,975.0,,986.0
77,7883,981.0,980.0,,980.0,,986.0
78,7883,986.0,,996.0,1000.0,,986.0
82,7883,984.0,,989.0,988.0,,986.0
86,7883,986.0,985.0,992.0,997.0,,985.0
89,7883,,991.0,988.0,,,986.0
95,7883,984.0,,,,,986.0
98,7883,984.0,987.0,986.0,988.0,,985.0
103,7883,980.0,980.0,980.0,978.0,,986.0
104,7883,983.0,,989.0,,,986.0
14,7884,992.0,,1005.0,1003.0,1015.0,991.0
15,7884,991.0,1004.0,1014.0,1016.0,1015.0,991.0
18,7884,995.0,993.0,,994.0,1050.0,991.0
121,7884,992.0,,,,,991.0
1,7884,995.0,1010.0,1012.0,1014.0,1005.0,991.0
4,7884,,997.0,1003.0,1015.0,1015.0,991.0
125,7884,990.0,,,,,991.0
7,7884,991.0,998.0,998.0,996.0,996.0,991.0
21,7884,988.0,997.0,1000.0,,1005.0,991.0
23,7884,990.0,1002.0,1007.0,,1020.0,991.0
26,7884,1000.0,,1012.0,,,991.0
28,7884,987.0,974.0,964.0,960.0,,991.0
130,7884,994.0,,,,,991.0
134,7884,997.0,,,,,991.0
136,7884,993.0,,,,,990.0
138,7884,993.0,,,,,991.0
31,7884,990.0,1000.0,1000.0,1015.0,1030.0,991.0
32,7884,992.0,1002.0,1000.0,1004.0,,991.0
34,7884,990.0,1005.0,1003.0,1003.0,,991.0
38,7884,997.0,998.0,1004.0,,1009.0,991.0
39,7884,990.0,,1000.0,,,991.0
144,7884,989.0,,,,,991.0
42,7884,995.0,1004.0,,,,991.0
44,7884,,,,1007.0,,991.0
46,7884,991.0,996.0,999.0,996.0,998.0,991.0
48,7884,995.0,995.0,985.0,990.0,1010.0,991.0
49,7884,991.0,999.0,1007.0,998.0,1005.0,991.0
50,7884,,,,,993.0,991.0
51,7884,992.0,997.0,1001.0,999.0,1003.0,991.0
52,7884,989.0,1000.0,1010.0,1010.0,1015.0,991.0
54,7884,991.0,995.0,987.0,,982.0,991.0
55,7884,998.0,,1009.0,1020.0,,991.0
58,7884,992.0,1007.0,1010.0,1010.0,1011.0,991.0
61,7884,996.0,1011.0,1021.0,1024.0,1018.0,991.0
64,7884,990.0,990.0,995.0,988.0,991.0,990.0
69,7884,988.0,991.0,990.0,984.0,,991.0
70,7884,998.0,,1000.0,1001.0,1001.0,991.0
72,7884,994.0,994.0,,1005.0,,992.0
73,7884,988.0,1000.0,1006.0,1006.0,1006.0,991.0
75,7884,1002.0,994.0,1002.0,1002.0,988.0,991.0
77,7884,991.0,990.0,1001.0,,1000.0,991.0
78,7884,987.0,1001.0,,1016.0,1021.0,991.0
82,7884,994.0,1005.0,,1008.0,1004.0,991.0
83,7884,,,1000.0,1000.0,1010.0,991.0
85,7884,,997.0,,,1010.0,991.0
86,7884,991.0,1002.0,1003.0,1012.0,1015.0,991.0
92,7884,,,,987.0,989.0,991.0
95,7884,993.0,1000.0,,,,991.0
98,7884,994.0,1000.0,1001.0,1002.0,1004.0,991.0
103,7884,995.0,995.0,995.0,990.0,990.0,991.0
104,7884,991.0,996.0,,1006.0,,990.0
110,7885,1018.0,,,,,1018.0
111,7885,,1010.0,,,,1018.0
10,7885,,,1019.0,1026.0,,1018.0
14,7885,1020.0,1020.0,,1029.0,,1019.0
15,7885,1023.0,1018.0,1021.0,1033.0,,1018.0
16,7885,,1012.0,1015.0,,,1018.0
18,7885,1004.0,1012.0,1000.0,,,1018.0
121,7885,1018.0,1020.0,,,,1018.0
1,7885,1020.0,1020.0,1030.0,1034.0,,1018.0
3,7885,,1019.0,,1030.0,,1018.0
4,7885,1017.0,,1012.0,1019.0,,1018.0
7,7885,1017.0,1017.0,1018.0,1018.0,,1018.0
129,7885,,999.0,,,,1018.0
21,7885,1022.0,1022.0,1017.0,1015.0,,1018.0
22,7885,,,1018.0,1006.0,,1018.0
23,7885,1010.0,1015.0,1020.0,1027.0,,1018.0
