CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
16,7927,3.0,,,,,10.0
19,7927,3.0,,,,,14.0
4,7927,-2.5,,,,,10.3
5,7927,4.0,,,,,10.3
23,7927,4.0,,,,,10.0
30,7927,5.3,,,,,10.3
31,7927,21.2,,,,,
35,7927,5.0,,,,,14.0
40,7927,20.4,,,,,10.2
62,7927,-1.0,,,,,14.0
68,7927,4.5,,,,,14.0
70,7927,5.0,,,,,10.0
74,7927,0.0,,,,,10.0
79,7927,4.0,,,,,10.0
82,7927,-3.0,,,,,10.0
16,7928,-5.0,0.0,,,,8.0
19,7928,2.0,6.0,,,,6.0
5,7928,-2.0,5.0,,,,6.2
23,7928,1.0,1.0,,,,9.0
30,7928,9.8,4.0,,,,9.0
31,7928,5.0,13.1,,,,6.2
35,7928,-2.0,-1.5,,,,6.0
40,7928,2.6,2.0,,,,6.2
47,7928,15.5,,,,,8.5
53,7928,4.0,,,,,8.5
58,7928,4.2,,,,,9.0
62,7928,-4.0,5.0,,,,8.5
65,7928,,6.5,,,,8.5
67,7928,5.0,,,,,6.2
68,7928,4.0,4.7,,,,6.0
70,7928,4.0,2.0,,,,6.2
79,7928,8.0,5.0,,,,9.0
13,7929,,16.0,,,,-18.0
16,7929,-8.0,,2.0,,,-18.0
19,7929,-10.0,-1.0,7.0,,,-17.0
3,7929,-3.4,,,,,-17.0
4,7929,,-4.9,0.9,,,-17.5
5,7929,-1.5,-5.0,6.0,,,-17.0
20,7929,,7.0,,,,-17.5
30,7929,6.0,10.0,5.0,,,-17.5
31,7929,-1.8,-1.0,2.6,,,-17.0
33,7929,,,2.5,,,-17.0
35,7929,-4.0,-4.0,0.0,,,-17.2
40,7929,-7.5,-1.0,14.4,,,-17.5
47,7929,-7.0,-5.0,,,,-17.5
53,7929,-3.0,-4.5,,,,-17.5
58,7929,-1.0,-3.9,,,,-18.0
60,7929,1.6,,,,,-17.5
62,7929,-6.0,-6.0,8.0,,,-17.0
65,7929,-0.1,,4.2,,,-17.5
67,7929,-6.0,4.0,,,,-17.5
68,7929,-4.0,-3.0,6.0,,,-17.2
70,7929,-5.0,2.0,7.0,,,-17.0
75,7929,,-2.5,,,,-19.8
78,7929,-0.6,,,,,-17.5
79,7929,-1.0,1.0,8.0,,,-17.5
80,7929,,-6.0,,,,-16.9
83,7929,-8.0,,,,,-17.0
88,7929,,,,,,-18.0
16,7930,-8.0,,3.0,2.0,,-5.0
19,7930,-10.0,-2.0,4.0,8.0,,-9.7
3,7930,-6.0,1.6,,,,-5.3
5,7930,-6.0,-2.0,3.0,6.0,,-5.3
20,7930,-10.0,,10.4,,,-6.9
23,7930,,-2.0,-2.0,0.0,,-7.0
30,7930,-6.5,5.0,7.0,3.0,,-6.9
33,7930,-2.0,,,6.5,,-5.3
35,7930,-3.0,2.0,4.0,-1.0,,-5.3
39,7930,,,,,,-7.0
43,7930,,,,8.0,,-6.9
47,7930,-5.0,-3.0,-2.0,,,-6.9
51,7930,-3.0,,,,,-6.9
58,7930,-9.0,6.0,4.9,,,-7.0
60,7930,-3.1,-0.4,,,,-6.9
61,7930,,-1.5,,,,-6.1
62,7930,-8.0,,8.0,9.0,,-5.3
65,7930,-7.6,1.0,,3.4,,-6.9
68,7930,-8.4,-2.0,-1.0,5.5,,-5.3
70,7930,-10.0,5.0,8.0,11.0,,-5.3
78,7930,-8.0,-2.7,,,,-4.7
79,7930,-8.1,,2.0,10.0,,-6.9
80,7930,-6.4,,2.0,,,-6.6
87,7930,,2.0,,,,-7.0
92,7930,-8.0,,,,,-7.0
96,7930,,,0.1,,,-5.3
13,7931,,-5.0,,-10.0,,0.7
19,7931,-1.9,-2.0,2.0,7.0,9.0,1.0
5,7931,-4.0,-2.0,0.0,3.7,7.0,2.3
23,7931,-4.0,,,1.0,6.0,0.7
30,7931,-6.0,3.0,6.0,-1.0,4.0,0.7
31,7931,,-4.0,3.5,2.0,12.8,2.0
33,7931,-0.4,5.0,,,10.5,2.3
35,7931,-2.0,6.0,5.0,5.0,0.0,2.3
39,7931,-5.0,,,2.0,,0.7
40,7931,,1.9,1.7,3.5,25.1,0.7
43,7931,1.0,,,,8.0,0.7
47,7931,-3.4,3.0,1.0,4.0,,1.0
51,7931,0.0,0.0,,,,0.7
58,7931,-4.0,-2.0,2.2,9.0,,1.0
59,7931,-4.8,,,,,1.0
60,7931,-5.2,1.5,1.5,,,0.7
61,7931,-10.6,,-5.6,,,0.7
62,7931,0.1,4.0,5.0,12.0,10.0,
67,7931,,,5.0,9.5,,-0.6
68,7931,-4.0,-3.0,,2.5,5.0,2.3
70,7931,-6.0,,10.0,11.0,11.0,2.3
79,7931,-3.5,0.5,5.0,3.0,13.0,1.0
87,7931,-2.0,,4.0,,,0.7
92,7931,-5.0,-2.0,,,,2.0
95,7931,-5.0,,,,,0.7
96,7931,-2.4,,,3.6,,2.3
16,7932,,1.0,1.0,5.0,5.0,-18.0
19,7932,-5.0,0.5,1.0,4.0,9.0,-18.0
5,7932,-2.0,1.0,3.0,4.0,5.6,-17.7
30,7932,1.0,-3.5,2.0,7.0,-2.0,-1.7
35,7932,-3.0,3.0,6.0,6.0,6.0,-18.7
40,7932,-1.5,,6.3,6.0,1.9,-17.7
43,7932,2.0,5.0,,,,-17.7
47,7932,-5.0,1.0,5.0,8.0,5.6,-17.7
51,7932,2.0,2.0,1.0,,,-17.7
53,7932,,,0.0,3.0,3.5,-17.7
58,7932,-3.0,0.0,3.0,1.3,11.4,-18.0
60,7932,-2.1,-0.8,4.3,4.0,,-18.0
61,7932,-11.5,-4.6,,0.3,,-17.7
62,7932,5.0,5.0,8.0,11.0,15.0,-17.7
65,7932,,-2.2,2.6,0.0,,-17.7
70,7932,-5.0,,5.0,10.0,10.0,-17.7
78,7932,,-0.4,1.8,4.2,,-18.7
79,7932,5.0,1.1,3.8,9.0,6.0,-18.0
80,7932,,-0.3,,,5.0,-17.7
82,7932,,,,,7.0,-17.7
84,7932,,,,,2.0,-19.0
87,7932,-2.0,2.0,,6.0,,-18.0
88,7932,,,-2.0,,,
92,7932,-3.0,1.0,2.0,,,-18.0
94,7932,-2.4,,,,,
13,7933,,3.0,,5.0,,-12.4
16,7933,3.0,,3.0,3.0,5.0,-13.0
