CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
13,7880,730.7692,732.5581,740.1575,,742.0635,727.4809
14,7880,731.5385,733.8462,,,740.1575,727.4809
15,7880,733.0769,730.0,732.8125,726.1538,741.7323,733.0769
16,7880,732.3077,,732.2835,750.0,750.0,733.0769
18,7880,730.5344,733.3333,732.0313,733.3333,767.7419,727.4809
1,7880,730.5344,734.1085,739.0625,,744.4444,727.4809
3,7880,733.0769,728.4615,731.0078,737.5,,727.4809
4,7880,729.771,,732.8125,732.2835,737.7953,727.4809
6,7880,732.8244,734.1085,738.0952,742.0635,734.127,727.4809
7,7880,731.2977,,,749.6063,747.2441,727.4809
8,7880,729.771,,733.5938,741.4063,737.0079,733.0769
9,7880,729.771,,731.25,734.375,726.5625,733.0769
22,7880,728.2443,737.2093,,748.0315,747.2441,727.4809
28,7880,,,714.0625,,,727.4809
29,7880,729.771,729.4574,,734.375,740.1575,727.4809
31,7880,738.4615,750.0,755.9055,761.9048,761.9048,727.4809
32,7880,,,739.3701,748.4127,735.4331,733.0769
33,7880,721.374,738.2813,735.9375,,756.6929,733.0769
34,7880,,732.3077,,,739.3701,727.4809
40,7880,733.0769,737.6923,,,,733.0769
44,7880,,737.9845,,728.125,,733.0769
45,7880,,,744.0945,,746.0317,733.0769
46,7880,734.6154,728.4615,732.8125,741.7323,738.5827,727.4809
48,7880,732.8244,731.0078,741.7323,747.619,751.5873,733.0769
49,7880,727.4809,728.4615,726.3566,729.6875,725.0,727.4809
51,7880,728.2443,733.0769,738.2813,738.2813,740.625,733.0769
52,7880,733.0769,,739.0625,740.9449,740.9449,727.4809
55,7880,,,742.1875,,743.75,726.7176
56,7880,728.2443,736.9231,746.4567,,740.3101,727.4809
57,7880,730.7692,,,728.125,722.6563,727.4809
58,7880,728.2443,729.2308,732.8125,739.3701,739.3701,727.4809
59,7880,,,,745.6693,745.6693,727.4809
61,7880,733.0769,740.3101,739.0625,735.9375,749.2063,727.4809
64,7880,733.8462,727.6923,721.7054,730.7087,728.3465,727.4809
66,7880,730.5344,,742.9688,742.1875,742.1875,727.4809
67,7880,729.771,,726.3566,739.0625,735.9375,733.0769
69,7880,,715.3846,711.811,704.0,709.6774,727.4809
70,7880,734.6154,736.1538,735.1563,731.25,733.8583,727.4809
72,7880,,,744.0945,740.1575,738.2813,733.0769
73,7880,734.6154,,748.0315,743.3071,743.3071,727.4809
74,7880,,718.1818,733.3333,735.9375,739.0625,727.4809
75,7880,724.4275,,735.1563,,733.0709,727.4809
78,7880,734.6154,,,753.9683,743.75,727.4809
79,7880,,,732.8125,732.8125,696.8504,727.4809
82,7880,734.6154,737.9845,738.2813,,749.2063,733.0769
83,7880,737.6923,,720.9302,,740.1575,733.0769
86,7880,735.3846,731.5385,736.7188,,740.9449,727.4809
88,7880,723.6641,,741.4063,,748.8189,733.0769
89,7880,,,731.0078,725.7813,730.7087,727.4809
92,7880,729.771,,735.9375,732.0313,,727.4809
97,7880,725.1908,725.1908,,,,733.0769
98,7880,733.8462,739.0625,,,,727.4809
101,7880,732.3077,,,,,725.9542
102,7880,738.4615,737.9845,,,,727.4809
103,7880,731.5385,734.1085,,,,727.4809
104,7880,,725.9542,,,,733.0769
10,7881,,,740.458,746.5116,,727.2727
14,7881,727.2727,728.7879,734.8485,,,727.2727
15,7881,730.303,729.5455,734.3511,738.7597,,725.7576
1,7881,726.5152,732.5758,736.1538,749.6124,,727.2727
3,7881,728.0303,728.7879,730.5344,737.6923,,716.4179
4,7881,734.0909,734.8485,,735.6589,,727.2727
6,7881,727.2727,732.5758,732.3077,739.6825,,726.5152
7,7881,728.0303,731.8182,,,,727.2727
8,7881,726.3158,726.3158,,737.9845,,727.2727
21,7881,,730.303,,732.3077,,722.5564
22,7881,731.0606,732.5758,745.7364,,,727.2727
23,7881,,732.5758,737.4046,750.7813,,727.2727
26,7881,,,753.4884,763.7795,,727.2727
28,7881,722.7273,,,710.0775,,727.2727
29,7881,727.2727,726.3158,733.0769,,,727.2727
32,7881,728.7879,,,744.5313,,727.2727
34,7881,729.5455,,734.3511,,,727.2727
38,7881,,727.4809,742.6357,743.75,,727.2727
39,7881,,,740.1515,,,727.2727
40,7881,729.5455,737.4046,734.8485,,,727.2727
46,7881,728.7879,728.0303,729.0076,734.8837,,727.2727
48,7881,727.2727,734.8485,740.3101,747.6563,,727.2727
49,7881,728.0303,728.0303,729.771,732.3077,,727.2727
51,7881,730.303,731.0606,727.2727,739.5349,,727.2727
52,7881,725.7576,728.0303,,743.4109,,721.8045
54,7881,,725.0,729.0076,,,728.0303
55,7881,723.3083,,,748.062,,727.2727
56,7881,731.8182,734.0909,742.7481,751.5625,,727.2727
57,7881,725.7576,723.4848,,,,727.2727
58,7881,731.0606,733.3333,732.8244,737.9845,,727.2727
60,7881,,737.1212,,,,727.2727
61,7881,728.7879,732.0611,742.3077,743.4109,,727.2727
64,7881,727.2727,732.8244,727.4809,,,727.2727
65,7881,,,735.8779,,,727.2727
66,7881,730.303,733.3333,,753.125,,727.2727
67,7881,729.5455,730.303,,728.4615,,727.2727
69,7881,721.8045,,706.1069,703.9063,,727.2727
70,7881,732.5758,732.5758,740.458,737.9845,,728.0303
73,7881,731.0606,731.0606,,763.7795,,727.2727
75,7881,724.0602,718.0451,,737.2093,,727.2727
77,7881,,728.2443,717.5573,,,728.0303
83,7881,734.3511,739.6947,,723.8462,,727.2727
86,7881,729.5455,731.8182,735.1145,742.6357,,727.2727
89,7881,725.0,,,733.0769,,726.5152
97,7881,727.2727,714.2857,710.5263,,,727.2727
98,7881,728.7879,735.1145,741.0853,,,727.2727
103,7881,723.3083,727.2727,734.6154,,,727.2727
107,7881,,,738.6364,,,727.2727
10,7882,727.6119,,,743.9394,,723.8806
13,7882,,725.9259,732.8244,744.186,,723.8806
15,7882,726.8657,733.8346,733.8346,737.8788,,723.8806
16,7882,,725.5639,740.458,,,723.8806
18,7882,,731.5789,728.1481,740.7692,,723.8806
1,7882,724.6269,731.5789,729.1045,736.6412,,723.8806
3,7882,720.7407,732.3308,731.5789,734.8485,,718.5185
4,7882,725.3731,734.3284,740.6015,,,723.8806
6,7882,724.0602,724.812,725.3731,734.6154,,723.8806
7,7882,723.8806,729.3233,730.8271,,,723.8806
8,7882,727.8195,723.8806,723.8806,,,729.3233
21,7882,717.7778,,726.1194,,,723.8806
22,7882,725.5639,728.3582,739.0977,750.0,,723.8806
23,7882,732.3308,,738.3459,746.2121,,723.8806
28,7882,728.7879,713.4328,,,,723.8806
31,7882,,729.3233,755.7252,767.4419,,723.8806
32,7882,728.5714,724.6269,,,,723.8806
33,7882,,731.0606,708.9552,743.0769,,723.8806
34,7882,724.6269,731.5789,,739.3939,,723.8806
38,7882,731.5789,,727.2727,742.3077,,723.8806
40,7882,725.3731,730.8271,739.3939,738.3459,,723.8806
42,7882,,,,,,724.6269
43,7882,,,,,,723.8806
46,7882,724.6269,727.8195,727.8195,731.0606,,723.8806
48,7882,725.5639,725.5639,736.8421,746.1538,,723.8806
49,7882,724.6269,729.3233,730.0752,730.0752,,723.8806
51,7882,726.1194,732.3308,733.0827,727.8195,,723.8806
52,7882,725.3731,729.3233,733.8346,,,723.8806
54,7882,724.0602,,718.797,727.2727,,723.8806
58,7882,728.3582,734.5865,734.5865,737.1212,,727.6119
59,7882,,730.8271,,,,723.8806
60,7882,726.8657,,737.3134,,,723.8806
61,7882,736.0902,733.8346,738.6364,744.2748,,723.8806
64,7882,727.6119,726.3158,731.0606,730.303,,723.1343
65,7882,730.597,,,740.1515,,723.8806
