CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
16,7927,158.0,,,,,161.0
19,7927,160.0,,,,,163.0
4,7927,158.0,,,,,161.0
5,7927,159.0,,,,,161.0
23,7927,159.0,,,,,161.0
30,7927,160.0,,,,,161.0
31,7927,160.0,,,,,163.0
35,7927,162.0,,,,,163.0
40,7927,159.5,,,,,161.0
68,7927,160.2,,,,,163.0
70,7927,160.0,,,,,161.0
74,7927,158.0,,,,,121.0
79,7927,158.0,,,,,161.0
82,7927,161.0,,,,,162.0
16,7928,159.0,160.0,,,,159.0
19,7928,160.0,161.0,,,,162.0
5,7928,159.0,160.0,,,,162.0
23,7928,157.0,159.0,,,,159.0
30,7928,158.0,160.0,,,,159.0
31,7928,160.0,160.0,,,,162.0
35,7928,161.0,167.0,,,,162.0
40,7928,154.5,153.0,,,,161.7
41,7928,160.0,,,,,159.0
47,7928,158.0,,,,,159.0
53,7928,160.0,,,,,159.0
58,7928,160.0,,,,,159.0
62,7928,,156.0,,,,159.0
65,7928,,160.0,,,,159.0
67,7928,160.0,,,,,161.7
70,7928,160.0,162.0,,,,162.0
79,7928,158.0,157.0,,,,159.0
13,7929,,149.0,,,,162.0
16,7929,155.0,157.0,165.0,,,163.0
19,7929,162.0,160.0,161.0,,,162.0
3,7929,159.0,,,,,162.0
4,7929,,155.9,160.0,,,162.4
5,7929,157.0,157.0,161.0,,,162.0
20,7929,,167.0,,,,162.4
30,7929,150.0,155.0,162.0,,,162.0
31,7929,157.0,156.0,160.0,,,162.0
33,7929,,,168.0,,,162.0
35,7929,160.0,159.0,168.0,,,162.0
40,7929,158.2,158.2,159.6,,,162.4
41,7929,158.0,158.0,,,,162.0
47,7929,157.0,158.0,,,,162.0
53,7929,157.0,159.0,,,,162.0
58,7929,166.0,157.0,,,,162.0
60,7929,158.0,,,,,162.0
62,7929,158.0,,158.0,,,162.0
65,7929,157.0,,162.0,,,162.0
67,7929,158.0,158.0,,,,162.4
68,7929,,158.0,161.0,,,162.0
70,7929,157.0,160.0,164.0,,,162.0
75,7929,,166.3,,,,168.3
78,7929,156.0,,,,,162.0
79,7929,155.0,156.0,158.0,,,162.0
80,7929,,160.0,,,,162.0
83,7929,156.0,,,,,162.0
88,7929,,,,,,162.0
16,7930,165.0,151.0,157.0,171.0,,167.0
19,7930,158.0,156.0,161.0,162.0,,171.5
3,7930,161.0,158.0,,,,166.0
5,7930,152.0,155.0,158.0,163.0,,166.0
20,7930,163.0,,170.0,,,168.0
23,7930,,157.0,157.0,160.0,,168.0
25,7930,,,,165.5,,168.0
27,7930,,150.0,,,,168.0
30,7930,160.0,148.0,150.0,164.0,,168.0
