CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
16,7927,184.0,,,,,179.0
19,7927,180.0,,,,,179.0
4,7927,181.0,,,,,178.9
5,7927,180.0,,,,,179.0
23,7927,182.0,,,,,179.0
30,7927,180.0,,,,,187.0
31,7927,181.0,,,,,179.0
35,7927,180.0,,,,,179.0
40,7927,180.8,,,,,175.9
62,7927,182.0,,,,,178.7
68,7927,180.4,,,,,179.0
70,7927,181.0,,,,,179.0
74,7927,182.0,,,,,179.0
79,7927,180.0,,,,,179.0
82,7927,179.0,,,,,180.0
16,7928,180.0,185.0,,,,179.0
19,7928,178.0,180.0,,,,179.0
5,7928,178.0,180.0,,,,179.0
23,7928,180.0,182.0,,,,179.0
30,7928,183.0,178.0,,,,179.0
31,7928,178.0,181.0,,,,179.0
35,7928,178.0,181.0,,,,179.0
40,7928,176.1,178.9,,,,178.8
41,7928,170.0,,,,,179.0
47,7928,175.0,,,,,179.0
53,7928,177.0,,,,,179.0
58,7928,178.0,,,,,179.0
62,7928,177.5,183.0,,,,179.0
65,7928,,182.0,,,,179.0
67,7928,177.0,,,,,178.8
68,7928,177.0,180.5,,,,179.0
70,7928,178.0,181.0,,,,179.0
79,7928,178.0,180.0,,,,179.0
13,7929,,182.0,,,,178.0
16,7929,180.0,182.0,186.0,,,178.0
19,7929,178.0,178.0,181.0,,,178.0
3,7929,179.0,,,,,178.0
5,7929,178.0,179.0,180.0,,,178.0
20,7929,,181.0,,,,177.5
30,7929,170.0,183.0,178.0,,,178.0
31,7929,179.0,179.0,180.0,,,178.0
33,7929,,,182.0,,,177.0
35,7929,183.0,177.0,180.0,,,178.0
40,7929,179.7,174.1,177.7,,,177.5
41,7929,175.0,165.0,,,,178.0
47,7929,178.0,174.0,,,,177.0
53,7929,179.0,176.0,,,,178.0
58,7929,176.0,176.0,,,,178.0
60,7929,179.0,,,,,178.0
62,7929,178.0,176.5,183.0,,,178.0
65,7929,178.0,,182.0,,,178.0
67,7929,178.0,177.0,,,,177.5
68,7929,178.0,176.0,180.1,,,178.0
70,7929,177.0,177.0,182.0,,,178.0
75,7929,,183.5,,,,184.2
78,7929,178.0,,,,,176.0
79,7929,179.0,177.0,180.0,,,178.0
80,7929,,178.0,,,,178.0
83,7929,179.0,,,,,178.0
88,7929,,,,,,178.0
16,7930,178.0,181.0,183.0,187.0,,175.0
19,7930,177.0,177.0,178.0,181.0,,188.0
3,7930,177.0,178.0,,,,175.0
5,7930,177.0,176.0,177.0,180.0,,175.0
20,7930,176.0,,182.0,,,175.0
23,7930,,181.0,182.0,184.0,,175.0
25,7930,,,,185.0,,175.0
30,7930,176.0,170.0,180.0,182.0,,175.0
33,7930,179.0,,,182.0,,175.0
35,7930,177.0,182.0,175.0,180.0,,175.0
39,7930,,,176.0,,,175.0
43,7930,,,,178.0,,175.0
47,7930,176.0,177.0,175.0,,,175.0
51,7930,177.0,,,,,175.0
58,7930,175.0,174.0,174.0,,,175.0
60,7930,178.0,179.0,,,,175.0
61,7930,,179.0,,,,175.0
62,7930,177.0,177.0,176.0,183.5,,174.9
65,7930,175.0,176.0,,182.0,,175.0
68,7930,176.0,176.0,175.0,180.1,,175.0
70,7930,177.0,176.0,176.0,182.0,,175.0
78,7930,176.0,176.0,,,,175.0
79,7930,177.0,179.0,176.0,180.0,,175.0
80,7930,176.0,,176.0,,,175.0
87,7930,,178.0,,,,175.0
92,7930,176.0,,,,,175.0
96,7930,,,178.0,,,175.0
13,7931,,178.0,,182.0,,175.0
19,7931,186.8,176.0,176.0,177.0,181.0,175.0
5,7931,175.0,176.0,175.0,178.0,180.0,174.9
23,7931,177.0,,181.0,182.0,183.0,175.0
30,7931,170.0,178.0,172.0,182.0,184.0,174.0
31,7931,,178.0,179.0,179.0,180.0,175.0
33,7931,175.0,179.0,,,182.0,175.0
35,7931,175.0,177.0,184.0,176.0,180.0,175.0
39,7931,174.0,,,177.0,,175.0
40,7931,,178.8,180.4,175.7,176.6,174.7
41,7931,,170.0,170.0,170.0,,174.0
43,7931,174.0,,,,178.0,174.7
47,7931,176.0,180.0,176.0,178.0,,175.0
51,7931,175.0,178.0,,,,174.7
58,7931,174.0,175.0,174.0,174.0,,175.0
59,7931,164.1,,,,,175.0
60,7931,174.0,178.0,178.0,,,175.0
61,7931,175.0,,178.0,,,175.0
62,7931,174.9,177.0,176.0,175.5,184.0,
67,7931,,178.0,178.0,178.0,,174.0
68,7931,175.0,175.0,175.0,174.0,180.3,175.0
70,7931,175.0,176.0,175.0,175.0,182.0,175.0
79,7931,175.0,177.0,178.0,177.0,181.0,175.0
87,7931,175.0,,176.0,,,175.0
92,7931,175.0,176.0,,,,175.0
95,7931,175.0,,,,,175.0
96,7931,175.0,,,177.0,,175.0
16,7932,,176.0,180.0,182.0,185.0,175.0
19,7932,174.0,187.3,176.0,176.0,177.0,175.0
5,7932,175.0,174.0,176.0,174.0,178.0,175.0
30,7932,174.0,165.0,178.0,180.0,186.0,175.0
35,7932,175.0,174.0,176.0,183.0,176.0,175.1
40,7932,175.6,,178.6,180.2,175.3,175.4
41,7932,174.0,,165.0,170.0,170.0,175.0
43,7932,175.0,173.0,,,,175.4
47,7932,176.0,178.0,182.0,174.0,179.0,175.0
51,7932,175.0,175.0,178.0,,,175.4
53,7932,,,176.0,176.0,173.0,175.0
58,7932,172.0,173.0,175.0,174.0,174.0,175.0
60,7932,175.0,173.0,178.0,178.0,,175.0
61,7932,175.0,174.0,,178.0,,175.0
62,7932,174.0,174.0,171.0,175.0,175.0,175.3
65,7932,,175.0,176.0,174.0,,175.0
70,7932,175.0,175.0,175.0,175.0,175.0,175.0
78,7932,,174.0,175.0,173.0,,175.0
79,7932,174.0,174.0,176.0,178.0,177.0,175.0
80,7932,,175.0,175.0,,177.0,175.0
82,7932,,,,,181.0,175.4
84,7932,,,,,174.0,175.0
87,7932,175.0,175.0,,176.0,,175.0
92,7932,175.0,174.0,175.0,,,175.0
94,7932,175.1,,,,,
13,7933,,176.0,,179.0,,175.0
16,7933,176.0,,177.0,182.0,182.0,175.0
19,7933,175.0,174.0,187.5,176.0,175.0,175.0
5,7933,175.0,174.0,173.0,175.0,173.0,175.0
23,7933,,177.0,178.0,,182.0,175.0
25,7933,,,173.0,,,175.0
30,7933,172.0,172.0,160.0,182.0,188.0,172.0
31,7933,,175.0,,180.0,181.0,175.0
33,7933,,174.0,176.0,177.0,,175.0
35,7933,174.1,174.0,173.0,175.0,,175.0
39,7933,,174.0,175.0,,,175.0
40,7933,177.0,176.6,,179.1,179.5,175.1
41,7933,176.0,173.0,,160.0,172.0,175.0
43,7933,176.0,175.0,173.0,,,175.1
47,7933,175.0,176.0,179.0,185.0,173.0,175.0
53,7933,175.0,,,175.0,176.0,175.0
60,7933,175.0,176.0,174.0,177.0,178.0,175.1
62,7933,174.0,173.5,173.5,175.0,175.0,175.0
67,7933,,173.0,,178.0,,175.0
68,7933,,174.0,173.0,174.0,173.0,175.0
70,7933,176.0,176.0,176.0,175.0,174.0,175.0
78,7933,175.0,,173.0,174.0,173.0,175.0
79,7933,175.0,173.0,173.0,176.0,178.0,176.0
80,7933,175.0,,173.0,174.0,,175.0
82,7933,174.0,,,,,174.6
87,7933,175.0,175.0,175.0,,176.0,175.0
93,7933,,,,178.0,,175.0
94,7933,175.0,173.5,,,,175.1
99,7933,174.9,,,,,175.1
13,7934,176.0,,176.0,,179.0,174.0
16,7934,178.0,178.0,,179.0,182.0,174.0
19,7934,175.0,175.0,174.0,187.8,176.0,174.0
5,7934,175.0,175.0,174.0,172.0,175.0,174.0
20,7934,,,,180.0,180.0,174.0
23,7934,176.0,,177.0,179.0,,174.0
30,7934,163.0,163.0,163.0,155.0,180.0,174.0
35,7934,175.0,174.7,174.0,172.0,174.0,174.0
40,7934,176.3,179.1,177.3,,179.1,174.3
43,7934,174.0,175.0,176.0,174.0,,174.0
47,7934,176.0,174.0,177.0,180.0,186.0,174.0
60,7934,176.3,175.0,175.0,174.0,177.0,174.0
