CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
94,7969,7.1,,,,,7.3
99,7969,7.72,,,,,7.3
404,7969,7.06,,,,,7.3
407,7969,7.4,,,,,7.3
408,7969,6.6,,,,,7.3
409,7969,7.4,,,,,7.3
410,7969,6.97,,,,,7.3
411,7969,7.03,,,,,7.0
414,7969,7.3,,,,,7.3
416,7969,7.0,,,,,7.3
418,7969,7.1,,,,,7.3
30,7969,7.85,,,,,7.3
35,7969,7.51,,,,,7.3
421,7969,7.15,,,,,7.3
422,7969,7.4,,,,,7.3
423,7969,7.02,,,,,7.3
424,7969,7.25,,,,,7.3
426,7969,7.26,,,,,7.3
427,7969,7.2,,,,,7.3
428,7969,6.79,,,,,7.3
430,7969,7.2,,,,,7.3
432,7969,7.5,,,,,7.3
433,7969,7.1,,,,,7.3
434,7969,7.6,,,,,7.3
435,7969,7.11,,,,,7.3
437,7969,7.1,,,,,7.3
438,7969,7.4,,,,,7.3
439,7969,7.2,,,,,7.3
440,7969,7.27,,,,,7.3
62,7969,7.0,,,,,7.3
65,7969,7.9,,,,,7.3
84,7969,7.25,,,,,7.3
94,7970,7.6,7.2,,,,7.38
404,7970,7.26,7.03,,,,7.38
405,7970,,7.0,,,,7.38
406,7970,,7.33,,,,7.38
407,7970,7.3,7.4,,,,7.38
408,7970,7.4,6.5,,,,7.38
20,7970,,7.35,,,,7.38
410,7970,7.49,7.02,,,,7.38
412,7970,7.5,,,,,7.38
414,7970,7.4,7.5,,,,7.38
416,7970,7.4,7.25,,,,7.38
418,7970,7.2,7.0,,,,7.38
30,7970,7.45,7.88,,,,7.38
420,7970,,7.25,,,,7.38
421,7970,7.51,7.27,,,,7.38
423,7970,7.52,7.19,,,,7.38
424,7970,7.45,7.25,,,,7.38
426,7970,7.58,7.11,,,,7.38
427,7970,7.5,7.3,,,,7.38
428,7970,7.51,6.81,,,,7.38
430,7970,7.3,7.3,,,,7.4
431,7970,7.4,,,,,7.38
432,7970,7.2,7.25,,,,7.38
433,7970,7.22,6.9,,,,7.38
434,7970,7.9,7.8,,,,7.38
440,7970,7.43,7.35,,,,7.38
60,7970,7.2,,,,,7.38
62,7970,7.3,6.8,,,,7.38
65,7970,7.47,7.4,,,,7.38
84,7970,7.3,7.25,,,,7.38
94,7971,6.5,7.5,7.4,,,6.6
99,7971,,7.5,8.05,,,6.62
404,7971,6.98,7.2,7.29,,,6.62
405,7971,6.9,,6.9,,,6.62
407,7971,6.5,7.6,7.8,,,6.62
408,7971,6.7,6.9,6.8,,,6.62
20,7971,7.3,,7.36,,,6.62
411,7971,,7.42,6.68,,,6.62
412,7971,6.66,7.6,,,,6.62
413,7971,6.84,,,,,6.62
414,7971,6.85,7.25,7.4,,,6.62
416,7971,7.35,7.55,7.5,,,6.62
418,7971,6.6,7.3,7.2,,,6.62
30,7971,7.4,7.7,7.9,,,6.62
420,7971,6.5,,7.4,,,6.62
421,7971,6.69,7.73,7.8,,,6.62
422,7971,,7.6,7.6,,,6.62
423,7971,7.25,7.51,7.36,,,6.62
424,7971,6.75,7.3,7.25,,,6.62
426,7971,6.77,7.26,7.01,,,6.62
427,7971,6.6,7.6,7.4,,,6.62
428,7971,7.97,7.72,7.16,,,6.62
430,7971,6.6,7.6,7.4,,,6.6
431,7971,6.7,7.4,,,,6.62
432,7971,6.5,7.0,7.0,,,6.62
433,7971,6.87,7.12,6.9,,,6.62
434,7971,7.4,8.1,7.9,,,6.62
437,7971,,7.4,7.1,,,6.62
440,7971,6.58,7.49,7.35,,,6.62
60,7971,6.7,7.0,,,,6.62
62,7971,6.7,7.2,6.7,,,6.62
65,7971,6.72,7.58,7.58,,,6.62
84,7971,6.5,7.2,6.85,,,6.62
94,7972,6.6,6.5,7.5,7.7,,6.7
99,7972,6.7,,7.6,8.09,,6.74
404,7972,6.85,6.9,7.41,7.42,,6.74
407,7972,6.6,6.5,8.0,7.7,,6.74
20,7972,6.6,7.28,,7.37,,6.74
411,7972,6.71,,7.3,6.65,,6.74
414,7972,6.8,7.1,7.25,7.3,,6.74
416,7972,6.6,7.4,7.8,7.75,,6.74
418,7972,6.7,6.4,7.5,7.4,,6.74
30,7972,7.1,7.42,7.95,7.95,,6.74
420,7972,6.85,6.4,,7.3,,6.74
421,7972,6.68,6.47,8.07,8.1,,6.74
422,7972,6.6,,7.7,7.6,,6.74
423,7972,6.44,7.29,7.53,7.51,,6.74
424,7972,6.9,6.75,7.35,7.25,,6.74
426,7972,6.76,6.63,7.02,7.02,,6.74
427,7972,6.8,6.8,7.8,7.5,,6.74
428,7972,6.72,7.7,7.66,7.37,,6.74
40,7972,,,,7.91,,7.33
430,7972,6.5,6.7,7.7,7.5,,6.74
431,7972,6.7,6.5,7.2,,,6.74
432,7972,6.7,6.25,7.25,7.25,,6.74
433,7972,6.6,6.89,7.05,7.0,,6.74
434,7972,6.7,7.5,8.2,8.1,,6.74
440,7972,6.8,6.8,7.63,7.36,,6.74
442,7972,6.72,,,,,6.74
444,7972,6.6,,,,,6.74
60,7972,6.8,6.7,7.0,,,6.74
65,7972,6.54,6.8,7.63,7.63,,6.74
94,7973,6.6,6.7,6.7,7.6,7.7,6.3
99,7973,6.4,6.7,,7.6,8.12,6.28
404,7973,6.34,6.69,6.99,7.53,7.96,6.28
405,7973,,6.3,6.6,,7.0,6.28
406,7973,,,6.97,,7.57,6.28
407,7973,6.4,6.7,6.6,8.0,7.7,6.28
409,7973,,,,7.6,8.2,6.28
20,7973,6.7,6.65,7.27,,7.4,6.28
411,7973,6.47,6.66,,7.18,6.63,6.28
414,7973,6.35,7.0,7.15,7.25,7.2,6.28
416,7973,6.9,6.7,7.5,7.7,7.8,6.28
30,7973,6.85,7.16,7.46,8.0,7.98,6.28
421,7973,6.5,6.67,6.72,8.45,8.7,6.28
422,7973,6.9,6.8,,7.5,7.4,6.28
423,7973,6.64,6.48,7.3,7.54,7.65,6.28
424,7973,6.4,6.6,6.5,7.4,,6.28
426,7973,6.46,6.65,6.7,7.08,7.15,6.28
427,7973,6.4,6.8,7.2,7.8,7.4,6.28
431,7973,6.5,6.7,6.4,6.9,,6.28
432,7973,6.5,6.6,6.35,7.5,7.5,6.28
433,7973,6.65,6.6,6.84,7.04,7.3,6.28
434,7973,6.5,7.1,7.8,8.4,,6.28
440,7973,6.5,6.9,7.05,7.75,7.52,6.28
442,7973,6.5,6.71,,,,6.28
444,7973,6.6,6.6,,,,6.28
445,7973,6.3,,,,,6.28
65,7973,6.72,6.78,7.25,7.9,,6.28
84,7973,,6.5,6.2,7.0,6.85,6.28
94,7974,6.1,6.7,6.7,6.8,7.7,6.0
99,7974,6.2,6.3,6.8,,7.7,5.99
404,7974,6.05,6.27,6.76,7.14,7.6,5.99
405,7974,6.4,,6.2,6.4,,5.99
407,7974,6.34,6.5,6.8,6.7,8.0,5.99
408,7974,,,7.2,6.6,,5.99
20,7974,6.27,6.72,6.65,7.25,,5.99
411,7974,6.01,6.31,6.49,,7.1,5.99
414,7974,5.9,6.75,6.9,7.1,7.25,5.99
416,7974,6.35,7.0,6.8,7.65,7.8,5.99
417,7974,,6.89,,,,5.99
