CompanyId,Quarter Timestamp,Estimated This Quarter,Estimated Last Quarter,Estimated Half Year Ago,Estimated Three Quarters Ago,Estimated One Year Ago,Ground Truth
13,7880,,,3.3,,,3.6
15,7880,,,4.0,3.8,,3.8
16,7880,,,3.8,4.1,,3.6
18,7880,,,3.6,3.8,,3.6
1,7880,,,3.5,,,3.6
3,7880,,,3.9,4.0,,3.5
4,7880,,,4.0,4.0,,3.6
6,7880,,,4.3,4.0,,3.6
7,7880,,,,4.0,,3.6
8,7880,,,4.0,4.1,,3.6
9,7880,,,4.0,4.0,,3.6
22,7880,,,,3.7,,3.6
28,7880,,,3.4,,,3.6
29,7880,,,,4.0,,3.6
31,7880,,,3.6,3.8,,3.6
32,7880,,,4.0,3.7,,3.6
33,7880,,,3.6,,,3.6
44,7880,,,,4.4,,3.6
46,7880,,,4.0,4.0,,3.6
48,7880,,,3.8,3.8,,3.6
49,7880,,,4.0,4.1,,3.6
51,7880,,,4.2,3.9,,3.6
52,7880,,,4.2,4.3,,3.6
55,7880,,,3.7,,,3.6
56,7880,,,3.8,,,3.6
57,7880,,,,4.7,,3.6
58,7880,,,4.0,4.0,,3.6
59,7880,,,,3.6,,3.6
61,7880,,,4.0,3.6,,3.6
64,7880,,,4.1,4.1,,3.6
66,7880,,,3.6,3.6,,3.6
67,7880,,,4.2,3.5,,3.6
69,7880,,,3.4,3.8,,3.6
70,7880,,,3.6,3.7,,3.6
72,7880,,,4.3,4.0,,3.6
73,7880,,,3.6,3.9,,3.6
74,7880,,,4.0,3.7,,3.6
75,7880,,,4.0,,,3.6
77,7880,,,,3.7,,3.8
78,7880,,,,3.6,,3.6
79,7880,,,3.6,4.0,,3.6
82,7880,,,3.7,,,3.6
83,7880,,,3.5,,,3.6
86,7880,,,3.8,,,3.6
88,7880,,,3.9,,,3.6
89,7880,,,4.1,4.1,,3.6
92,7880,,,3.9,4.2,,3.6
14,7881,4.1,,,,,4.5
1,7881,4.5,,,3.4,,4.2
3,7881,3.9,,,3.9,,4.2
4,7881,4.0,,,4.0,,4.2
6,7881,4.0,,,4.5,,4.3
7,7881,4.2,,,,,4.2
8,7881,4.0,,,4.0,,4.2
21,7881,,,,4.6,,4.2
22,7881,3.8,,,,,4.2
26,7881,,,,3.9,,4.2
28,7881,3.9,,,3.5,,4.2
29,7881,3.9,,,,,4.2
31,7881,3.8,,,3.6,,4.2
32,7881,4.0,,,3.7,,4.2
34,7881,4.0,,,,,4.2
38,7881,,,,4.0,,4.2
39,7881,,,,,,4.2
40,7881,4.0,,,,,4.2
46,7881,4.2,,,4.1,,4.2
48,7881,3.9,,,3.8,,4.2
49,7881,4.1,,,4.1,,4.2
51,7881,4.2,,,4.3,,4.2
52,7881,4.2,,,4.5,,4.2
55,7881,3.9,,,3.8,,4.2
56,7881,3.9,,,4.0,,4.2
57,7881,4.5,,,,,4.2
58,7881,4.0,,,4.0,,4.2
60,7881,,,,,,4.2
61,7881,4.1,,,4.1,,4.2
64,7881,4.1,,,,,4.2
66,7881,4.0,,,3.8,,4.2
67,7881,4.2,,,4.2,,4.2
69,7881,3.5,,,3.6,,4.2
73,7881,4.1,,,3.6,,4.2
75,7881,4.1,,,4.0,,4.2
77,7881,4.2,,,,,4.2
83,7881,3.7,,,3.8,,4.2
97,7881,4.0,,,,,4.2
98,7881,3.8,,,,,4.2
103,7881,4.1,,,,,4.2
14,7884,,,5.2,4.6,,5.8
15,7884,,,,3.9,,5.9
18,7884,,,,3.9,,5.8
1,7884,,,4.8,4.0,,5.8
4,7884,,,5.5,4.2,,5.8
7,7884,,,5.3,5.0,,5.9
21,7884,,,5.3,,,5.9
26,7884,,,4.3,,,5.8
28,7884,,,3.2,3.6,,5.8
31,7884,,,3.8,3.4,,5.8
32,7884,,,4.4,4.3,,5.9
34,7884,,,5.0,4.5,,5.8
38,7884,,,3.6,,,5.8
39,7884,,,5.0,,,6.0
44,7884,,,,4.6,,5.8
46,7884,,,5.2,4.3,,5.9
48,7884,,,4.4,3.8,,6.0
49,7884,,,5.0,5.0,,5.8
51,7884,,,5.2,4.5,,5.9
52,7884,,,5.0,4.7,,6.0
55,7884,,,4.2,3.8,,5.8
58,7884,,,4.5,4.2,,5.8
61,7884,,,4.2,4.1,,5.8
64,7884,,,5.0,4.7,,5.9
69,7884,,,4.5,4.1,,5.8
70,7884,,,,4.9,,5.8
72,7884,,,,4.5,,5.9
73,7884,,,4.7,4.1,,5.8
75,7884,,,4.7,4.0,,5.8
77,7884,,,4.5,4.0,,5.8
78,7884,,,,4.3,,5.8
82,7884,,,,4.3,,5.8
83,7884,,,4.4,4.2,,6.0
86,7884,,,,4.2,,5.8
92,7884,,,,5.5,,5.9
98,7884,,,4.8,4.1,,5.8
103,7884,,,5.0,4.4,,5.8
